time,TP9,AF7,AF8,TP10,Right AUX
1699116063.9451418,-284.66796875,-312.01171875,-1000.0,-140.625,0.0
1699116063.9490376,-835.44921875,-837.890625,115.234375,-1000.0,0.0
1699116063.952933,744.62890625,607.421875,-861.328125,-214.35546875,0.0
1699116063.9568286,-901.3671875,-1000.0,360.83984375,-832.51953125,0.0
1699116063.960724,-317.87109375,-747.0703125,-1000.0,250.0,0.0
1699116063.9646196,-940.4296875,811.5234375,-266.11328125,-1000.0,0.0
1699116063.9685152,-890.625,-879.8828125,-974.12109375,-624.0234375,0.0
1699116063.9724107,-248.046875,-253.90625,808.59375,970.21484375,0.0
1699116063.9763062,-789.0625,-1000.0,-498.046875,268.5546875,0.0
1699116063.980202,774.90234375,122.55859375,-531.73828125,-1000.0,0.0
1699116063.9840975,-796.38671875,-756.34765625,856.4453125,-1000.0,0.0
1699116063.987993,159.1796875,195.80078125,970.703125,206.54296875,0.0
1699116063.9920008,-1000.0,-1000.0,-210.44921875,836.42578125,0.0
1699116063.9958963,31.25,-269.04296875,-879.8828125,-719.23828125,0.0
1699116063.9997919,-732.91015625,-795.8984375,489.2578125,-1000.0,0.0
1699116064.0036876,388.18359375,308.10546875,-842.28515625,-196.77734375,0.0
1699116064.0075831,-1000.0,-1000.0,125.9765625,-859.375,0.0
1699116064.0114787,-289.55078125,-393.5546875,-1000.0,39.0625,0.0
1699116064.0153742,-866.69921875,-894.53125,39.55078125,-1000.0,0.0
1699116064.01927,873.53515625,762.6953125,-901.3671875,-331.0546875,0.0
1699116064.0231655,-741.2109375,-841.796875,472.65625,-853.515625,0.0
1699116064.027061,-431.15234375,-893.06640625,-923.33984375,242.67578125,0.0
1699116064.0309565,-982.91015625,654.296875,-308.10546875,-1000.0,0.0
1699116064.034852,-860.83984375,-830.56640625,-1000.0,-909.1796875,0.0
1699116064.0388436,-111.328125,-124.51171875,865.72265625,708.49609375,0.0
1699116064.0427392,-899.4140625,-1000.0,-380.37109375,511.23046875,0.0
1699116064.046635,612.79296875,4.8828125,-650.87890625,-1000.0,0.0
1699116064.0505304,-770.01953125,-761.23046875,746.58203125,-1000.0,0.0
1699116064.054426,166.015625,205.56640625,-994.140625,47.8515625,0.0
1699116064.0583217,-1000.0,-1000.0,-151.3671875,-949.21875,0.0
1699116064.0622172,-73.2421875,-273.4375,-923.828125,-381.34765625,0.0
1699116064.0661128,-753.41796875,-803.22265625,397.4609375,-1000.0,0.0
1699116064.0700083,492.1875,429.19921875,-835.9375,-203.61328125,0.0
1699116064.073904,-1000.0,-1000.0,217.28515625,-845.703125,0.0
1699116064.0777996,-292.48046875,-523.92578125,-1000.0,147.4609375,0.0
1699116064.081695,-903.3203125,-978.02734375,-132.8125,-1000.0,0.0
1699116064.0857651,996.58203125,909.66796875,-937.5,-533.69140625,0.0
1699116064.0896606,-546.875,-620.60546875,650.87890625,-933.59375,0.0
1699116064.0935562,-595.703125,-1000.0,-738.76953125,263.18359375,0.0
