time,tag,tr,flag
2023-11-03 21:43:15.006714,ct,,
2023-11-03 21:43:15.784807,ct,,omission error
2023-11-03 21:43:16.413717,click,,
2023-11-03 21:43:16.561697,ct,0.62891,correct comission
2023-11-03 21:43:17.201931,click,,
2023-11-03 21:43:17.339977,ct,0.640234,correct comission
2023-11-03 21:43:17.945072,click,,
2023-11-03 21:43:18.117118,mt,0.605095,comission error
2023-11-03 21:43:19.133216,click,,
2023-11-03 21:43:18.895491,ct,1.016098,correct comission
2023-11-03 21:43:19.673950,ct,,omission error
2023-11-03 21:43:20.030509,click,,
2023-11-03 21:43:20.452879,ct,0.356559,correct comission
2023-11-03 21:43:20.889086,click,,
2023-11-03 21:43:21.231937,ct,0.436207,correct comission
2023-11-03 21:43:21.635525,click,,
2023-11-03 21:43:22.009590,ct,0.403588,correct comission
2023-11-03 21:43:22.505351,click,,
2023-11-03 21:43:22.789208,ct,0.495761,correct comission
2023-11-03 21:43:23.253316,click,,
2023-11-03 21:43:23.569827,ct,0.464108,correct comission
2023-11-03 21:43:24.021861,click,,
2023-11-03 21:43:24.347680,ct,0.452034,correct comission
2023-11-03 21:43:24.790813,click,,
2023-11-03 21:43:25.126148,ct,0.443133,correct comission
2023-11-03 21:43:25.625890,click,,
2023-11-03 21:43:25.903951,ct,0.499742,correct comission
2023-11-03 21:43:26.553349,click,,
2023-11-03 21:43:26.684102,ct,0.649398,correct comission
2023-11-03 21:43:27.279381,click,,
2023-11-03 21:43:27.462445,mt,0.595279,comission error
2023-11-03 21:43:27.977034,click,,
2023-11-03 21:43:28.239451,ct,0.514589,correct comission
2023-11-03 21:43:28.947634,click,,
2023-11-03 21:43:29.016424,ct,0.708183,correct comission
2023-11-03 21:43:29.766881,click,,
2023-11-03 21:43:29.792064,ct,0.750457,correct comission
2023-11-03 21:43:30.672767,click,,
2023-11-03 21:43:30.568616,ct,0.880703,correct comission
2023-11-03 21:43:31.345381,ct,,omission error
2023-11-03 21:43:31.721211,click,,
2023-11-03 21:43:32.124431,mt,0.37583,comission error
2023-11-03 21:43:32.619029,click,,
2023-11-03 21:43:32.902219,ct,0.494598,correct comission
2023-11-03 21:43:33.786496,click,,
2023-11-03 21:43:33.680086,ct,0.884277,correct comission
2023-11-03 21:43:34.459671,ct,,omission error
2023-11-03 21:43:34.882039,click,,
2023-11-03 21:43:35.239371,ct,0.422368,correct comission
2023-11-03 21:43:35.786070,click,,
2023-11-03 21:43:36.018300,ct,0.546699,correct comission
2023-11-03 21:43:36.680444,click,,
2023-11-03 21:43:36.797050,ct,0.662144,correct comission
2023-11-03 21:43:37.693202,click,,
2023-11-03 21:43:37.574186,ct,0.896152,correct comission
2023-11-03 21:43:38.355243,ct,,omission error
2023-11-03 21:43:38.863950,click,,
