time,tag,tr,flag
2023-11-04 09:44:05.132926,ct,,
2023-11-04 09:44:05.909719,ct,,omission error
2023-11-04 09:44:06.373113,click,,
2023-11-04 09:44:06.683120,ct,0.463394,correct comission
2023-11-04 09:44:07.200832,click,,
2023-11-04 09:44:07.458633,ct,0.517712,correct comission
2023-11-04 09:44:07.990871,click,,
2023-11-04 09:44:08.232880,ct,0.532238,correct comission
2023-11-04 09:44:08.762175,click,,
2023-11-04 09:44:09.005261,ct,0.529295,correct comission
2023-11-04 09:44:09.572447,click,,
2023-11-04 09:44:09.778515,ct,0.567186,correct comission
2023-11-04 09:44:10.490099,click,,
2023-11-04 09:44:10.555455,mt,0.711584,comission error
2023-11-04 09:44:11.274133,click,,
2023-11-04 09:44:11.329558,ct,0.718678,correct comission
2023-11-04 09:44:12.210359,click,,
2023-11-04 09:44:12.106700,ct,0.880801,correct comission
2023-11-04 09:44:13.172677,click,,
2023-11-04 09:44:12.881736,ct,1.065977,correct comission
2023-11-04 09:44:13.658262,ct,,omission error
2023-11-04 09:44:14.059242,click,,
2023-11-04 09:44:14.433666,ct,0.40098,correct comission
2023-11-04 09:44:14.879022,click,,
2023-11-04 09:44:15.206753,ct,0.445356,correct comission
2023-11-04 09:44:15.680868,click,,
2023-11-04 09:44:15.980278,ct,0.474115,correct comission
2023-11-04 09:44:16.526173,click,,
2023-11-04 09:44:16.752950,ct,0.545895,correct comission
2023-11-04 09:44:17.354915,click,,
2023-11-04 09:44:17.527406,ct,0.601965,correct comission
2023-11-04 09:44:18.191934,click,,
2023-11-04 09:44:18.302713,ct,0.664528,correct comission
2023-11-04 09:44:19.092320,click,,
2023-11-04 09:44:19.077274,mt,0.789607,comission error
2023-11-04 09:44:19.853395,ct,,omission error
2023-11-04 09:44:20.355152,click,,
2023-11-04 09:44:20.628573,ct,0.501757,correct comission
2023-11-04 09:44:21.182036,click,,
2023-11-04 09:44:21.405701,ct,0.553463,correct comission
2023-11-04 09:44:21.954486,click,,
2023-11-04 09:44:22.180864,ct,0.548785,correct comission
2023-11-04 09:44:22.740397,click,,
2023-11-04 09:44:22.956830,ct,0.559533,correct comission
2023-11-04 09:44:23.583708,click,,
2023-11-04 09:44:23.731458,ct,0.626878,correct comission
2023-11-04 09:44:24.377789,click,,
2023-11-04 09:44:24.505602,mt,0.646331,comission error
2023-11-04 09:44:25.281234,ct,,omission error
2023-11-04 09:44:25.993888,click,,
2023-11-04 09:44:26.057700,ct,0.712654,correct comission
2023-11-04 09:44:26.694375,click,,
2023-11-04 09:44:26.833405,ct,0.636675,correct comission
2023-11-04 09:44:27.569478,click,,
2023-11-04 09:44:27.607255,ct,0.736073,correct comission
2023-11-04 09:44:28.382645,ct,,omission error
2023-11-04 09:44:28.993218,click,,
2023-11-04 09:44:29.154741,mt,0.610573,comission error
2023-11-04 09:44:29.732779,click,,
2023-11-04 09:44:29.930076,ct,0.578038,correct comission
2023-11-04 09:44:30.588351,click,,
2023-11-04 09:44:30.706143,ct,0.658275,correct comission
2023-11-04 09:44:31.345017,click,,
2023-11-04 09:44:31.481422,ct,0.638874,correct comission
2023-11-04 09:44:32.335546,click,,
2023-11-04 09:44:32.255359,ct,0.854124,correct comission
2023-11-04 09:44:33.030062,ct,,omission error
2023-11-04 09:44:33.464097,click,,
