time,tag,tr,flag
2023-11-04 10:12:44.895415,ct,,
2023-11-04 10:12:45.668763,mt,,correct omission
2023-11-04 10:12:46.053133,click,,
2023-11-04 10:12:46.441731,ct,0.38437,correct comission
2023-11-04 10:12:47.112240,click,,
2023-11-04 10:12:47.216525,ct,0.670509,correct comission
2023-11-04 10:12:47.912058,click,,
2023-11-04 10:12:47.991078,ct,0.695533,correct comission
2023-11-04 10:12:48.786899,click,,
2023-11-04 10:12:48.765768,ct,0.795821,correct comission
2023-11-04 10:12:49.642858,click,,
2023-11-04 10:12:49.539802,ct,0.87709,correct comission
2023-11-04 10:12:50.314568,ct,,omission error
2023-11-04 10:12:50.815592,click,,
2023-11-04 10:12:51.089841,ct,0.501024,correct comission
2023-11-04 10:12:51.583471,click,,
2023-11-04 10:12:51.863261,ct,0.49363,correct comission
2023-11-04 10:12:52.407272,click,,
2023-11-04 10:12:52.639717,ct,0.544011,correct comission
2023-11-04 10:12:53.189283,click,,
2023-11-04 10:12:53.413877,ct,0.549566,correct comission
2023-11-04 10:12:54.010563,click,,
2023-11-04 10:12:54.188485,ct,0.596686,correct comission
2023-11-04 10:12:54.915218,click,,
2023-11-04 10:12:54.961696,ct,0.726733,correct comission
2023-11-04 10:12:55.811720,click,,
2023-11-04 10:12:55.738419,mt,0.850024,comission error
2023-11-04 10:12:56.514346,ct,,omission error
2023-11-04 10:12:56.853651,click,,
2023-11-04 10:12:57.289142,ct,0.339305,correct comission
2023-11-04 10:12:57.752918,click,,
2023-11-04 10:12:58.064450,ct,0.463776,correct comission
2023-11-04 10:12:58.628694,click,,
2023-11-04 10:12:58.836841,ct,0.564244,correct comission
2023-11-04 10:12:59.527647,click,,
2023-11-04 10:12:59.613528,ct,0.690806,correct comission
2023-11-04 10:13:00.388098,ct,,omission error
2023-11-04 10:13:00.727117,click,,
2023-11-04 10:13:01.163016,ct,0.339019,correct comission
2023-11-04 10:13:01.645106,click,,
2023-11-04 10:13:01.937307,ct,0.48209,correct comission
2023-11-04 10:13:02.491206,click,,
2023-11-04 10:13:02.709669,ct,0.553899,correct comission
2023-11-04 10:13:03.517514,click,,
2023-11-04 10:13:03.485749,ct,0.807845,correct comission
2023-11-04 10:13:04.261901,ct,,omission error
2023-11-04 10:13:04.770294,click,,
2023-11-04 10:13:05.037562,ct,0.508393,correct comission
2023-11-04 10:13:05.661583,click,,
2023-11-04 10:13:05.814103,ct,0.624021,correct comission
2023-11-04 10:13:06.555183,click,,
2023-11-04 10:13:06.586952,mt,0.74108,comission error
2023-11-04 10:13:07.612039,click,,
2023-11-04 10:13:07.361756,ct,1.025087,correct comission
2023-11-04 10:13:08.137378,ct,,omission error
2023-11-04 10:13:08.570173,click,,
2023-11-04 10:13:08.910406,ct,0.432795,correct comission
