time,tag,tr,flag
2023-11-04 10:03:09.889358,ct,,
2023-11-04 10:03:10.665174,ct,,omission error
2023-11-04 10:03:11.330445,click,,
2023-11-04 10:03:11.441021,mt,0.665271,comission error
2023-11-04 10:03:12.236213,click,,
2023-11-04 10:03:12.214977,ct,0.795192,correct comission
2023-11-04 10:03:13.083456,click,,
2023-11-04 10:03:12.989866,ct,0.868479,correct comission
2023-11-04 10:03:13.764781,ct,,omission error
2023-11-04 10:03:14.110475,click,,
2023-11-04 10:03:14.540276,ct,0.345694,correct comission
2023-11-04 10:03:15.017081,click,,
2023-11-04 10:03:15.316092,ct,0.476805,correct comission
2023-11-04 10:03:16.030564,click,,
2023-11-04 10:03:16.089753,ct,0.714472,correct comission
2023-11-04 10:03:17.084440,click,,
2023-11-04 10:03:16.866999,ct,0.994687,correct comission
2023-11-04 10:03:17.642955,ct,,omission error
2023-11-04 10:03:18.029521,click,,
2023-11-04 10:03:18.417168,ct,0.386566,correct comission
2023-11-04 10:03:18.969586,click,,
2023-11-04 10:03:19.191951,ct,0.552418,correct comission
2023-11-04 10:03:19.812594,click,,
2023-11-04 10:03:19.968661,mt,0.620643,comission error
2023-11-04 10:03:20.606706,click,,
2023-11-04 10:03:20.742851,ct,0.638045,correct comission
2023-11-04 10:03:21.409610,click,,
2023-11-04 10:03:21.516904,ct,0.666759,correct comission
2023-11-04 10:03:22.449817,click,,
2023-11-04 10:03:22.290149,ct,0.932913,correct comission
2023-11-04 10:03:23.062636,ct,,omission error
2023-11-04 10:03:23.420775,click,,
2023-11-04 10:03:23.837600,ct,0.358139,correct comission
2023-11-04 10:03:24.241668,click,,
2023-11-04 10:03:24.610810,ct,0.404068,correct comission
2023-11-04 10:03:25.157775,click,,
2023-11-04 10:03:25.386584,ct,0.546965,correct comission
2023-11-04 10:03:26.084508,click,,
2023-11-04 10:03:26.160099,ct,0.697924,correct comission
2023-11-04 10:03:27.139018,click,,
2023-11-04 10:03:26.935585,ct,0.978919,correct comission
2023-11-04 10:03:27.711482,mt,,correct omission
2023-11-04 10:03:28.233870,click,,
2023-11-04 10:03:28.487792,ct,0.522388,correct comission
2023-11-04 10:03:29.018288,click,,
2023-11-04 10:03:29.263455,ct,0.530496,correct comission
2023-11-04 10:03:30.019221,click,,
2023-11-04 10:03:30.039989,ct,0.755766,correct comission
2023-11-04 10:03:30.760096,click,,
2023-11-04 10:03:30.816217,ct,0.720107,correct comission
2023-11-04 10:03:31.591677,click,,
2023-11-04 10:03:31.592649,ct,0.77546,correct comission
2023-11-04 10:03:32.467947,click,,
2023-11-04 10:03:32.368398,ct,0.875298,correct comission
2023-11-04 10:03:33.270207,click,,
2023-11-04 10:03:33.141508,ct,0.901809,correct comission
2023-11-04 10:03:34.165253,click,,
2023-11-04 10:03:33.916813,ct,1.023745,correct comission
2023-11-04 10:03:34.693618,mt,,correct omission
2023-11-04 10:03:35.059220,click,,
2023-11-04 10:03:35.467050,ct,0.365602,correct comission
2023-11-04 10:03:35.877296,click,,
2023-11-04 10:03:36.243908,ct,0.410246,correct comission
2023-11-04 10:03:36.732058,click,,
2023-11-04 10:03:37.018274,ct,0.48815,correct comission
2023-11-04 10:03:37.575455,click,,
2023-11-04 10:03:37.794894,ct,0.557181,correct comission
2023-11-04 10:03:38.542479,click,,
2023-11-04 10:03:38.569600,ct,0.747585,correct comission
2023-11-04 10:03:39.372314,click,,
2023-11-04 10:03:39.347053,ct,0.802714,correct comission
2023-11-04 10:03:40.121420,ct,,omission error
2023-11-04 10:03:40.484159,click,,
2023-11-04 10:03:40.895379,ct,0.362739,correct comission
2023-11-04 10:03:41.324856,click,,
2023-11-04 10:03:41.670059,mt,0.429477,comission error
2023-11-04 10:03:42.168228,click,,
2023-11-04 10:03:42.444259,ct,0.498169,correct comission
2023-11-04 10:03:43.218617,ct,,omission error
2023-11-04 10:03:43.585391,click,,
2023-11-04 10:03:43.993811,ct,0.366774,correct comission
2023-11-04 10:03:44.689842,click,,
2023-11-04 10:03:44.769182,ct,0.696031,correct comission
2023-11-04 10:03:45.692196,click,,
2023-11-04 10:03:45.543072,ct,0.923014,correct comission
2023-11-04 10:03:46.317286,ct,,omission error
2023-11-04 10:03:46.747043,click,,
2023-11-04 10:03:47.092990,ct,0.429757,correct comission
2023-11-04 10:03:47.826670,click,,
2023-11-04 10:03:47.866839,mt,0.73368,comission error
2023-11-04 10:03:48.640967,ct,,omission error
2023-11-04 10:03:49.039101,click,,
2023-11-04 10:03:49.416425,ct,0.398134,correct comission
2023-11-04 10:03:49.993912,click,,
2023-11-04 10:03:50.190147,ct,0.577487,correct comission
2023-11-04 10:03:51.078935,click,,
2023-11-04 10:03:50.965194,ct,0.888788,correct comission
2023-11-04 10:03:51.738561,ct,,omission error
2023-11-04 10:03:52.234650,click,,
2023-11-04 10:03:52.513454,ct,0.496089,correct comission
2023-11-04 10:03:53.589590,click,,
2023-11-04 10:03:53.286883,ct,1.076136,correct comission
2023-11-04 10:03:54.059747,ct,,omission error
2023-11-04 10:03:54.467532,click,,
2023-11-04 10:03:54.833594,ct,0.407785,correct comission
2023-11-04 10:03:55.528319,click,,
2023-11-04 10:03:55.607673,ct,0.694725,correct comission
2023-11-04 10:03:56.244704,click,,
2023-11-04 10:03:56.381948,mt,0.637031,comission error
2023-11-04 10:03:57.265055,click,,
2023-11-04 10:03:57.159327,ct,0.883107,correct comission
2023-11-04 10:03:57.933984,ct,,omission error
2023-11-04 10:03:58.335103,click,,
2023-11-04 10:03:58.706503,ct,0.401119,correct comission
2023-11-04 10:03:59.259916,click,,
2023-11-04 10:03:59.481511,ct,0.553413,correct comission
2023-11-04 10:04:00.105589,click,,
2023-11-04 10:04:00.257537,ct,0.624078,correct comission
2023-11-04 10:04:01.115793,click,,
2023-11-04 10:04:01.032453,ct,0.858256,correct comission
2023-11-04 10:04:01.807381,ct,,omission error
2023-11-04 10:04:02.206427,click,,
2023-11-04 10:04:02.582280,ct,0.399046,correct comission
2023-11-04 10:04:03.329553,click,,
2023-11-04 10:04:03.357527,ct,0.747273,correct comission
2023-11-04 10:04:04.133493,ct,,omission error
2023-11-04 10:04:04.718881,click,,
2023-11-04 10:04:04.907071,ct,0.585388,correct comission
2023-11-04 10:04:05.991272,click,,
2023-11-04 10:04:05.680348,ct,1.084201,correct comission
2023-11-04 10:04:06.454570,ct,,omission error
2023-11-04 10:04:06.867174,click,,
2023-11-04 10:04:07.229659,mt,0.412604,comission error
2023-11-04 10:04:07.746511,click,,
2023-11-04 10:04:08.003669,ct,0.516852,correct comission
2023-11-04 10:04:08.592649,click,,
2023-11-04 10:04:08.779762,ct,0.58898,correct comission
2023-11-04 10:04:09.469637,click,,
2023-11-04 10:04:09.555625,ct,0.689875,correct comission
2023-11-04 10:04:10.487183,click,,
2023-11-04 10:04:10.330460,ct,0.931558,correct comission
2023-11-04 10:04:11.104128,mt,,correct omission
2023-11-04 10:04:11.595042,click,,
2023-11-04 10:04:11.879714,ct,0.490914,correct comission
2023-11-04 10:04:12.655482,ct,,omission error
