time,tag,tr,flag
2023-11-04 10:57:59.712723,ct,,
2023-11-04 10:58:00.363587,click,,
2023-11-04 10:58:00.488303,ct,0.650864,correct comission
2023-11-04 10:58:01.093279,click,,
2023-11-04 10:58:01.262796,ct,0.604976,correct comission
2023-11-04 10:58:01.877292,click,,
2023-11-04 10:58:02.034918,ct,0.614496,correct comission
2023-11-04 10:58:02.647353,click,,
2023-11-04 10:58:02.807206,ct,0.612435,correct comission
2023-11-04 10:58:03.399776,click,,
2023-11-04 10:58:03.582203,ct,0.59257,correct comission
2023-11-04 10:58:04.193663,click,,
2023-11-04 10:58:04.355534,ct,0.61146,correct comission
2023-11-04 10:58:05.005166,click,,
2023-11-04 10:58:05.129340,ct,0.649632,correct comission
2023-11-04 10:58:05.766970,click,,
2023-11-04 10:58:05.901969,ct,0.63763,correct comission
2023-11-04 10:58:06.618509,click,,
2023-11-04 10:58:06.673181,ct,0.71654,correct comission
2023-11-04 10:58:07.593629,click,,
2023-11-04 10:58:07.448881,ct,0.920448,correct comission
2023-11-04 10:58:08.515162,click,,
2023-11-04 10:58:08.223477,ct,1.066281,correct comission
2023-11-04 10:58:08.997744,mt,,correct omission
2023-11-04 10:58:09.318748,click,,
2023-11-04 10:58:09.772335,ct,0.321004,correct comission
2023-11-04 10:58:10.216452,click,,
2023-11-04 10:58:10.548097,ct,0.444117,correct comission
2023-11-04 10:58:11.054277,click,,
2023-11-04 10:58:11.324754,ct,0.50618,correct comission
2023-11-04 10:58:11.856294,click,,
2023-11-04 10:58:12.098763,ct,0.53154,correct comission
2023-11-04 10:58:12.625328,click,,
2023-11-04 10:58:12.872976,ct,0.526565,correct comission
2023-11-04 10:58:13.552254,click,,
2023-11-04 10:58:13.649214,ct,0.679278,correct comission
2023-11-04 10:58:14.135439,click,,
2023-11-04 10:58:14.423665,ct,0.486225,correct comission
2023-11-04 10:58:14.856318,click,,
2023-11-04 10:58:15.197335,ct,0.432653,correct comission
2023-11-04 10:58:15.713282,click,,
2023-11-04 10:58:15.972403,ct,0.515947,correct comission
2023-11-04 10:58:16.535353,click,,
2023-11-04 10:58:16.746738,ct,0.56295,correct comission
2023-11-04 10:58:17.208106,click,,
2023-11-04 10:58:17.522850,ct,0.461368,correct comission
2023-11-04 10:58:17.864715,click,,
2023-11-04 10:58:18.297196,ct,0.341865,correct comission
2023-11-04 10:58:18.847364,click,,
2023-11-04 10:58:19.074968,mt,0.550168,comission error
2023-11-04 10:58:19.627929,click,,
2023-11-04 10:58:19.846604,ct,0.552961,correct comission
2023-11-04 10:58:20.434625,click,,
2023-11-04 10:58:20.622438,ct,0.588021,correct comission
2023-11-04 10:58:21.268468,click,,
2023-11-04 10:58:21.396684,ct,0.64603,correct comission
2023-11-04 10:58:22.047013,click,,
2023-11-04 10:58:22.172957,ct,0.650329,correct comission
2023-11-04 10:58:22.820739,click,,
2023-11-04 10:58:22.947719,ct,0.647782,correct comission
2023-11-04 10:58:23.610438,click,,
2023-11-04 10:58:23.719993,ct,0.662719,correct comission
2023-11-04 10:58:24.416989,click,,
2023-11-04 10:58:24.494166,ct,0.696996,correct comission
2023-11-04 10:58:25.301958,click,,
2023-11-04 10:58:25.267345,ct,0.807792,correct comission
2023-11-04 10:58:26.199832,click,,
2023-11-04 10:58:26.044387,ct,0.932487,correct comission
2023-11-04 10:58:27.033958,click,,
2023-11-04 10:58:26.819381,mt,0.989571,comission error
2023-11-04 10:58:27.592791,ct,,omission error
2023-11-04 10:58:28.086533,click,,
2023-11-04 10:58:28.369472,ct,0.493742,correct comission
2023-11-04 10:58:28.929664,click,,
