time,tag,tr,flag
2023-11-27 10:17:36.129001,ct,,
2023-11-27 10:17:36.945525,ct,,omission error
2023-11-27 10:17:37.466240,click,,
2023-11-27 10:17:37.744883,ct,0.520715,correct comission
2023-11-27 10:17:38.282077,click,,
2023-11-27 10:17:38.556686,ct,0.537194,correct comission
2023-11-27 10:17:39.013763,click,,
2023-11-27 10:17:39.364802,ct,0.457077,correct comission
2023-11-27 10:17:39.866019,click,,
2023-11-27 10:17:40.174621,mt,0.501217,comission error
2023-11-27 10:17:40.743318,click,,
2023-11-27 10:17:40.981262,ct,0.568697,correct comission
2023-11-27 10:17:41.803065,click,,
2023-11-27 10:17:41.791331,ct,0.821803,correct comission
2023-11-27 10:17:42.441388,click,,
2023-11-27 10:17:42.595877,ct,0.650057,correct comission
2023-11-27 10:17:43.181339,click,,
2023-11-27 10:17:43.414032,ct,0.585462,correct comission
2023-11-27 10:17:43.967636,click,,
2023-11-27 10:17:44.230103,ct,0.553604,correct comission
2023-11-27 10:17:44.783703,click,,
2023-11-27 10:17:45.045806,mt,0.5536,comission error
2023-11-27 10:17:45.542443,click,,
2023-11-27 10:17:45.860711,ct,0.496637,correct comission
2023-11-27 10:17:46.483860,click,,
2023-11-27 10:17:46.660006,ct,0.623149,correct comission
2023-11-27 10:17:47.384332,click,,
2023-11-27 10:17:47.489887,ct,0.724326,correct comission
2023-11-27 10:17:48.190476,click,,
2023-11-27 10:17:48.302319,ct,0.700589,correct comission
2023-11-27 10:17:48.847183,click,,
2023-11-27 10:17:49.107643,ct,0.544864,correct comission
2023-11-27 10:17:49.711700,click,,
2023-11-27 10:17:49.916174,ct,0.604057,correct comission
2023-11-27 10:17:50.411818,click,,
2023-11-27 10:17:50.716803,ct,0.495644,correct comission
2023-11-27 10:17:51.388100,click,,
2023-11-27 10:17:51.527312,ct,0.671297,correct comission
2023-11-27 10:17:52.103893,click,,
2023-11-27 10:17:52.330215,ct,0.576581,correct comission
2023-11-27 10:17:52.907229,click,,
2023-11-27 10:17:53.145788,ct,0.577014,correct comission
2023-11-27 10:17:53.704812,click,,
2023-11-27 10:17:53.952385,ct,0.559024,correct comission
2023-11-27 10:17:54.585566,click,,
2023-11-27 10:17:54.768064,ct,0.633181,correct comission
2023-11-27 10:17:55.399732,click,,
2023-11-27 10:17:55.566083,ct,0.631668,correct comission
2023-11-27 10:17:56.256561,click,,
2023-11-27 10:17:56.381277,ct,0.690478,correct comission
2023-11-27 10:17:57.022249,click,,
2023-11-27 10:17:57.189480,ct,0.640972,correct comission
2023-11-27 10:17:57.838222,click,,
2023-11-27 10:17:57.996736,ct,0.648742,correct comission
2023-11-27 10:17:58.594736,click,,
2023-11-27 10:17:58.800402,mt,0.598,comission error
2023-11-27 10:17:59.385835,click,,
2023-11-27 10:17:59.606479,ct,0.585433,correct comission
2023-11-27 10:18:00.648208,click,,
2023-11-27 10:18:00.424529,mt,1.041729,comission error
2023-11-27 10:18:01.234973,ct,,omission error
2023-11-27 10:18:01.823096,click,,
2023-11-27 10:18:02.046807,ct,0.588123,correct comission
2023-11-27 10:18:02.746012,click,,
2023-11-27 10:18:02.848446,ct,0.699205,correct comission
2023-11-27 10:18:03.454238,click,,
2023-11-27 10:18:03.660411,ct,0.605792,correct comission
2023-11-27 10:18:04.318953,click,,
2023-11-27 10:18:04.469211,ct,0.658542,correct comission
2023-11-27 10:18:05.070721,click,,
2023-11-27 10:18:05.296020,ct,0.60151,correct comission
2023-11-27 10:18:05.826574,click,,
2023-11-27 10:18:06.114287,ct,0.530554,correct comission
2023-11-27 10:18:06.673508,click,,
2023-11-27 10:18:06.923755,ct,0.559221,correct comission
2023-11-27 10:18:07.550800,click,,
2023-11-27 10:18:07.729333,ct,0.627045,correct comission
2023-11-27 10:18:08.409203,click,,
2023-11-27 10:18:08.542824,ct,0.67987,correct comission
2023-11-27 10:18:09.458492,click,,
2023-11-27 10:18:09.360074,ct,0.915668,correct comission
2023-11-27 10:18:10.160379,ct,,omission error
2023-11-27 10:18:10.575955,click,,
2023-11-27 10:18:10.960681,ct,0.415576,correct comission
2023-11-27 10:18:11.597127,click,,
2023-11-27 10:18:11.764298,ct,0.636446,correct comission
2023-11-27 10:18:12.575970,ct,,omission error
2023-11-27 10:18:13.187759,click,,
2023-11-27 10:18:13.391368,mt,0.611789,comission error
2023-11-27 10:18:13.955333,click,,
2023-11-27 10:18:14.202538,ct,0.563965,correct comission
2023-11-27 10:18:14.788008,click,,
2023-11-27 10:18:15.023988,ct,0.58547,correct comission
2023-11-27 10:18:15.909085,click,,
2023-11-27 10:18:15.830178,ct,0.885097,correct comission
2023-11-27 10:18:16.916235,click,,
2023-11-27 10:18:16.638037,mt,1.086057,comission error
2023-11-27 10:18:17.440962,ct,,omission error
2023-11-27 10:18:17.858700,click,,
2023-11-27 10:18:18.250234,ct,0.417738,correct comission
2023-11-27 10:18:18.737277,click,,
2023-11-27 10:18:19.064551,ct,0.487043,correct comission
2023-11-27 10:18:19.647595,click,,
2023-11-27 10:18:19.878939,ct,0.583044,correct comission
2023-11-27 10:18:20.465283,click,,
2023-11-27 10:18:20.688521,ct,0.586344,correct comission
2023-11-27 10:18:21.348776,click,,
2023-11-27 10:18:21.492693,ct,0.660255,correct comission
2023-11-27 10:18:22.210237,click,,
2023-11-27 10:18:22.314179,ct,0.717544,correct comission
2023-11-27 10:18:23.118349,ct,,omission error
2023-11-27 10:18:23.664062,click,,
2023-11-27 10:18:23.939595,ct,0.545713,correct comission
2023-11-27 10:18:24.655503,click,,
2023-11-27 10:18:24.743221,ct,0.715908,correct comission
2023-11-27 10:18:25.460883,click,,
2023-11-27 10:18:25.553183,ct,0.717662,correct comission
2023-11-27 10:18:26.255691,click,,
2023-11-27 10:18:26.362923,ct,0.702508,correct comission
2023-11-27 10:18:27.125122,click,,
2023-11-27 10:18:27.180033,ct,0.762199,correct comission
2023-11-27 10:18:28.060094,click,,
2023-11-27 10:18:27.981103,ct,0.880061,correct comission
2023-11-27 10:18:29.040705,click,,
2023-11-27 10:18:28.785345,ct,1.059602,correct comission
2023-11-27 10:18:29.601184,mt,,correct omission
2023-11-27 10:18:30.070213,click,,
2023-11-27 10:18:30.412223,ct,0.469029,correct comission
2023-11-27 10:18:31.048739,click,,
2023-11-27 10:18:31.236650,ct,0.636516,correct comission
2023-11-27 10:18:31.873295,click,,
2023-11-27 10:18:32.041863,ct,0.636645,correct comission
2023-11-27 10:18:32.993049,click,,
2023-11-27 10:18:32.852691,ct,0.951186,correct comission
2023-11-27 10:18:33.666231,ct,,omission error
2023-11-27 10:18:34.173129,click,,
2023-11-27 10:18:34.475781,ct,0.506898,correct comission
2023-11-27 10:18:35.181152,click,,
2023-11-27 10:18:35.279618,ct,0.705371,correct comission
2023-11-27 10:18:35.933456,click,,
2023-11-27 10:18:36.091119,ct,0.653838,correct comission
2023-11-27 10:18:36.724284,click,,
2023-11-27 10:18:36.911510,ct,0.633165,correct comission
2023-11-27 10:18:37.590750,click,,
2023-11-27 10:18:37.714379,ct,0.67924,correct comission
2023-11-27 10:18:38.820162,click,,
2023-11-27 10:18:38.520289,mt,1.105783,comission error
2023-11-27 10:18:39.322073,ct,,omission error
2023-11-27 10:18:39.781797,click,,
2023-11-27 10:18:40.132588,ct,0.459724,correct comission
2023-11-27 10:18:40.820128,click,,
2023-11-27 10:18:40.937939,ct,0.68754,correct comission
2023-11-27 10:18:41.991081,click,,
2023-11-27 10:18:41.753271,mt,1.053142,comission error
2023-11-27 10:18:42.558497,ct,,omission error
2023-11-27 10:18:43.088266,click,,
2023-11-27 10:18:43.364266,ct,0.529769,correct comission
2023-11-27 10:18:44.087405,click,,
2023-11-27 10:18:44.178803,ct,0.723139,correct comission
2023-11-27 10:18:44.869961,click,,
2023-11-27 10:18:44.986685,ct,0.691158,correct comission
2023-11-27 10:18:45.607410,click,,
2023-11-27 10:18:45.794953,ct,0.620725,correct comission
2023-11-27 10:18:46.424077,click,,
2023-11-27 10:18:46.598398,ct,0.629124,correct comission
2023-11-27 10:18:47.213298,click,,
2023-11-27 10:18:47.420722,ct,0.6149,correct comission
2023-11-27 10:18:48.082807,click,,
2023-11-27 10:18:48.229726,ct,0.662085,correct comission
2023-11-27 10:18:48.879335,click,,
2023-11-27 10:18:49.041160,ct,0.649609,correct comission
2023-11-27 10:18:49.842302,ct,,omission error
2023-11-27 10:18:50.442798,click,,
2023-11-27 10:18:50.660179,ct,0.600496,correct comission
2023-11-27 10:18:51.173036,click,,
2023-11-27 10:18:51.467779,ct,0.512857,correct comission
2023-11-27 10:18:51.904458,click,,
2023-11-27 10:18:52.271615,mt,0.436679,comission error
2023-11-27 10:18:52.787451,click,,
2023-11-27 10:18:53.077287,ct,0.515836,correct comission
2023-11-27 10:18:53.733415,click,,
2023-11-27 10:18:53.878786,ct,0.656128,correct comission
2023-11-27 10:18:54.728499,click,,
2023-11-27 10:18:54.684727,ct,0.849713,correct comission
2023-11-27 10:18:55.489928,ct,,omission error
2023-11-27 10:18:55.986488,click,,
2023-11-27 10:18:56.304075,ct,0.49656,correct comission
2023-11-27 10:18:56.905199,click,,
2023-11-27 10:18:57.112493,ct,0.601124,correct comission
2023-11-27 10:18:57.753263,click,,
2023-11-27 10:18:57.931736,ct,0.64077,correct comission
2023-11-27 10:18:58.566777,click,,
2023-11-27 10:18:58.752679,ct,0.635041,correct comission
2023-11-27 10:18:59.369123,click,,
2023-11-27 10:18:59.556472,ct,0.616444,correct comission
2023-11-27 10:19:00.130058,click,,
2023-11-27 10:19:00.360553,ct,0.573586,correct comission
2023-11-27 10:19:00.913080,click,,
2023-11-27 10:19:01.172344,ct,0.552527,correct comission
2023-11-27 10:19:01.794527,click,,
2023-11-27 10:19:01.977322,ct,0.622183,correct comission
2023-11-27 10:19:02.533086,click,,
2023-11-27 10:19:02.780444,mt,0.555764,comission error
2023-11-27 10:19:03.238224,click,,
2023-11-27 10:19:03.600837,ct,0.45778,correct comission
2023-11-27 10:19:04.259315,click,,
2023-11-27 10:19:04.413618,mt,0.658478,comission error
2023-11-27 10:19:05.079496,click,,
2023-11-27 10:19:05.220059,ct,0.665878,correct comission
2023-11-27 10:19:06.050447,click,,
2023-11-27 10:19:06.026824,ct,0.830388,correct comission
2023-11-27 10:19:06.920298,click,,
2023-11-27 10:19:06.829923,ct,0.893474,correct comission
2023-11-27 10:19:07.651896,ct,,omission error
