time,tag,tr,flag
2023-11-05 09:46:47.055942,ct,,
2023-11-05 09:46:48.040922,click,,
2023-11-05 09:46:47.902067,ct,0.98498,correct comission
2023-11-05 09:46:48.737530,mt,,correct omission
2023-11-05 09:46:49.580936,ct,,omission error
2023-11-05 09:46:50.039165,click,,
2023-11-05 09:46:50.421781,ct,0.458229,correct comission
2023-11-05 09:46:51.048079,click,,
2023-11-05 09:46:51.259611,ct,0.626298,correct comission
2023-11-05 09:46:51.982260,click,,
2023-11-05 09:46:52.101900,ct,0.722649,correct comission
2023-11-05 09:46:52.759843,click,,
2023-11-05 09:46:52.938122,ct,0.657943,correct comission
2023-11-05 09:46:53.568035,click,,
2023-11-05 09:46:53.768551,ct,0.629913,correct comission
2023-11-05 09:46:54.283064,click,,
2023-11-05 09:46:54.601407,ct,0.514513,correct comission
2023-11-05 09:46:55.086155,click,,
2023-11-05 09:46:55.443995,ct,0.484748,correct comission
2023-11-05 09:46:55.901313,click,,
2023-11-05 09:46:56.277762,ct,0.457318,correct comission
2023-11-05 09:46:56.760566,click,,
2023-11-05 09:46:57.115141,ct,0.482804,correct comission
2023-11-05 09:46:57.585066,click,,
2023-11-05 09:46:57.952847,ct,0.469925,correct comission
2023-11-05 09:46:58.424598,click,,
2023-11-05 09:46:58.797505,ct,0.471751,correct comission
2023-11-05 09:46:59.216822,click,,
2023-11-05 09:46:59.632236,ct,0.419317,correct comission
2023-11-05 09:47:00.578876,click,,
2023-11-05 09:47:00.475375,ct,0.94664,correct comission
2023-11-05 09:47:01.610405,click,,
2023-11-05 09:47:01.316999,ct,1.13503,correct comission
2023-11-05 09:47:02.395351,click,,
2023-11-05 09:47:02.145347,mt,1.078352,comission error
2023-11-05 09:47:02.978886,ct,,omission error
2023-11-05 09:47:03.473176,click,,
2023-11-05 09:47:03.802420,ct,0.49429,correct comission
2023-11-05 09:47:04.329585,click,,
2023-11-05 09:47:04.645546,mt,0.527165,comission error
2023-11-05 09:47:05.194664,click,,
2023-11-05 09:47:05.505463,ct,0.549118,correct comission
2023-11-05 09:47:05.987046,click,,
2023-11-05 09:47:06.328987,ct,0.481583,correct comission
2023-11-05 09:47:06.714471,click,,
2023-11-05 09:47:07.175642,ct,0.385484,correct comission
2023-11-05 09:47:07.518907,click,,
2023-11-05 09:47:08.017658,ct,0.343265,correct comission
2023-11-05 09:47:09.102161,click,,
2023-11-05 09:47:08.855794,ct,1.084503,correct comission
2023-11-05 09:47:09.859050,click,,
2023-11-05 09:47:09.691632,ct,1.003256,correct comission
2023-11-05 09:47:10.667139,click,,
2023-11-05 09:47:10.552379,ct,0.975507,correct comission
2023-11-05 09:47:11.519750,click,,
2023-11-05 09:47:11.393652,ct,0.967371,correct comission
2023-11-05 09:47:12.340423,click,,
2023-11-05 09:47:12.228199,ct,0.946771,correct comission
2023-11-05 09:47:13.290713,click,,
2023-11-05 09:47:13.067851,ct,1.062514,correct comission
2023-11-05 09:47:14.159745,click,,
2023-11-05 09:47:13.912559,ct,1.091894,correct comission
2023-11-05 09:47:14.929452,click,,
2023-11-05 09:47:14.756411,ct,1.016893,correct comission
2023-11-05 09:47:15.627888,click,,
2023-11-05 09:47:15.592795,ct,0.871477,correct comission
2023-11-05 09:47:16.430647,ct,,omission error
2023-11-05 09:47:16.898861,click,,
2023-11-05 09:47:17.271916,ct,0.468214,correct comission
2023-11-05 09:47:17.757624,click,,
2023-11-05 09:47:18.113635,mt,0.485708,comission error
2023-11-05 09:47:18.631963,click,,
2023-11-05 09:47:18.968130,ct,0.518328,correct comission
2023-11-05 09:47:19.506051,click,,
2023-11-05 09:47:19.803892,ct,0.537921,correct comission
2023-11-05 09:47:20.481276,click,,
2023-11-05 09:47:20.636911,ct,0.677384,correct comission
2023-11-05 09:47:21.359302,click,,
2023-11-05 09:47:21.484667,mt,0.722391,comission error
2023-11-05 09:47:22.330484,ct,,omission error
2023-11-05 09:47:22.951220,click,,
2023-11-05 09:47:23.162144,ct,0.620736,correct comission
2023-11-05 09:47:23.825211,click,,
2023-11-05 09:47:24.003519,ct,0.663067,correct comission
2023-11-05 09:47:24.531639,click,,
2023-11-05 09:47:24.836975,ct,0.52812,correct comission
2023-11-05 09:47:25.326305,click,,
2023-11-05 09:47:25.673957,ct,0.48933,correct comission
2023-11-05 09:47:26.224972,click,,
2023-11-05 09:47:26.520203,ct,0.551015,correct comission
2023-11-05 09:47:27.029910,click,,
2023-11-05 09:47:27.354304,ct,0.509707,correct comission
2023-11-05 09:47:27.853153,click,,
2023-11-05 09:47:28.193896,ct,0.498849,correct comission
2023-11-05 09:47:28.752615,click,,
2023-11-05 09:47:29.028549,ct,0.558719,correct comission
2023-11-05 09:47:29.620957,click,,
2023-11-05 09:47:29.863774,ct,0.592408,correct comission
2023-11-05 09:47:30.399884,click,,
2023-11-05 09:47:30.716195,ct,0.53611,correct comission
2023-11-05 09:47:31.893190,click,,
2023-11-05 09:47:31.668817,ct,1.176995,correct comission
2023-11-05 09:47:32.502447,ct,,omission error
2023-11-05 09:47:33.345211,mt,,correct omission
2023-11-05 09:47:33.836872,click,,
2023-11-05 09:47:34.195500,ct,0.491661,correct comission
2023-11-05 09:47:34.867125,click,,
2023-11-05 09:47:35.030493,ct,0.671625,correct comission
2023-11-05 09:47:35.867334,ct,,omission error
2023-11-05 09:47:36.289548,click,,
2023-11-05 09:47:36.720803,ct,0.422214,correct comission
2023-11-05 09:47:37.269595,click,,
2023-11-05 09:47:37.562787,ct,0.548792,correct comission
2023-11-05 09:47:38.103133,click,,
2023-11-05 09:47:38.405211,ct,0.540346,correct comission
2023-11-05 09:47:38.902391,click,,
2023-11-05 09:47:39.251291,ct,0.49718,correct comission
2023-11-05 09:47:39.734298,click,,
2023-11-05 09:47:40.107247,ct,0.483007,correct comission
2023-11-05 09:47:40.564905,click,,
2023-11-05 09:47:40.955108,ct,0.457658,correct comission
2023-11-05 09:47:41.801607,ct,,omission error
2023-11-05 09:47:42.174568,click,,
2023-11-05 09:47:42.637878,mt,0.372961,comission error
2023-11-05 09:47:43.110060,click,,
