time,tag,tr,flag
2023-11-04 12:02:45.292827,ct,,
2023-11-04 12:02:46.073177,ct,,omission error
2023-11-04 12:02:46.779057,click,,
2023-11-04 12:02:46.854028,mt,0.70588,comission error
2023-11-04 12:02:47.573039,click,,
2023-11-04 12:02:47.634122,ct,0.719011,correct comission
2023-11-04 12:02:48.379813,click,,
2023-11-04 12:02:48.415307,ct,0.745691,correct comission
2023-11-04 12:02:49.195170,ct,,omission error
2023-11-04 12:02:49.898156,click,,
2023-11-04 12:02:49.976818,ct,0.702986,correct comission
2023-11-04 12:02:50.760081,ct,,omission error
2023-11-04 12:02:51.399417,click,,
2023-11-04 12:02:51.540004,ct,0.639336,correct comission
2023-11-04 12:02:52.385057,click,,
2023-11-04 12:02:52.321352,ct,0.845053,correct comission
2023-11-04 12:02:53.075797,click,,
2023-11-04 12:02:53.099654,mt,0.754445,comission error
2023-11-04 12:02:53.876987,ct,,omission error
2023-11-04 12:02:54.504240,click,,
2023-11-04 12:02:54.657644,ct,0.627253,correct comission
2023-11-04 12:02:55.370692,click,,
2023-11-04 12:02:55.437530,ct,0.713048,correct comission
2023-11-04 12:02:56.253554,click,,
2023-11-04 12:02:56.215522,ct,0.816024,correct comission
2023-11-04 12:02:57.017162,click,,
2023-11-04 12:02:56.995342,ct,0.80164,correct comission
2023-11-04 12:02:57.732555,click,,
2023-11-04 12:02:57.775940,ct,0.737213,correct comission
2023-11-04 12:02:58.589644,click,,
2023-11-04 12:02:58.555521,ct,0.813704,correct comission
2023-11-04 12:02:59.378691,click,,
2023-11-04 12:02:59.335648,ct,0.82317,correct comission
2023-11-04 12:03:00.171403,click,,
2023-11-04 12:03:00.117800,ct,0.835755,correct comission
2023-11-04 12:03:01.017035,click,,
2023-11-04 12:03:00.899773,ct,0.899235,correct comission
2023-11-04 12:03:01.697050,click,,
2023-11-04 12:03:01.680511,ct,0.797277,correct comission
2023-11-04 12:03:02.436235,click,,
2023-11-04 12:03:02.461649,ct,0.755724,correct comission
2023-11-04 12:03:03.167546,click,,
2023-11-04 12:03:03.239394,ct,0.705897,correct comission
2023-11-04 12:03:03.955027,click,,
2023-11-04 12:03:04.019526,ct,0.715633,correct comission
2023-11-04 12:03:04.669505,click,,
2023-11-04 12:03:04.799460,ct,0.649979,correct comission
2023-11-04 12:03:05.500036,click,,
2023-11-04 12:03:05.578784,mt,0.700576,comission error
2023-11-04 12:03:06.175321,click,,
2023-11-04 12:03:06.359564,ct,0.596537,correct comission
2023-11-04 12:03:07.009469,click,,
2023-11-04 12:03:07.140696,ct,0.649905,correct comission
2023-11-04 12:03:07.821782,click,,
2023-11-04 12:03:07.920106,ct,0.681086,correct comission
2023-11-04 12:03:08.625777,click,,
2023-11-04 12:03:08.701837,mt,0.705671,comission error
2023-11-04 12:03:09.483574,ct,,omission error
2023-11-04 12:03:10.090801,click,,
2023-11-04 12:03:10.263282,ct,0.607227,correct comission
2023-11-04 12:03:10.924757,click,,
2023-11-04 12:03:11.045909,ct,0.661475,correct comission
2023-11-04 12:03:11.696881,click,,
2023-11-04 12:03:11.828336,ct,0.650972,correct comission
2023-11-04 12:03:12.500176,click,,
2023-11-04 12:03:12.609564,ct,0.67184,correct comission
2023-11-04 12:03:13.410389,click,,
2023-11-04 12:03:13.388784,ct,0.800825,correct comission
2023-11-04 12:03:14.387674,click,,
2023-11-04 12:03:14.171339,ct,0.99889,correct comission
2023-11-04 12:03:15.025302,click,,
2023-11-04 12:03:14.950340,ct,0.853963,correct comission
2023-11-04 12:03:15.634858,click,,
2023-11-04 12:03:15.728828,ct,0.684518,correct comission
2023-11-04 12:03:16.359738,click,,
2023-11-04 12:03:16.509033,ct,0.63091,correct comission
2023-11-04 12:03:17.081149,click,,
2023-11-04 12:03:17.287934,ct,0.572116,correct comission
2023-11-04 12:03:17.927484,click,,
2023-11-04 12:03:18.069342,ct,0.63955,correct comission
2023-11-04 12:03:18.567380,click,,
2023-11-04 12:03:18.848584,ct,0.498038,correct comission
2023-11-04 12:03:19.312029,click,,
2023-11-04 12:03:19.626365,ct,0.463445,correct comission
2023-11-04 12:03:20.054248,click,,
2023-11-04 12:03:20.406979,mt,0.427883,comission error
2023-11-04 12:03:21.169921,click,,
2023-11-04 12:03:21.186078,ct,0.762942,correct comission
2023-11-04 12:03:21.739789,click,,
2023-11-04 12:03:21.966829,ct,0.553711,correct comission
2023-11-04 12:03:22.725177,click,,
2023-11-04 12:03:22.748326,ct,0.758348,correct comission
2023-11-04 12:03:23.366933,click,,
2023-11-04 12:03:23.529400,ct,0.618607,correct comission
2023-11-04 12:03:24.275172,click,,
2023-11-04 12:03:24.310868,ct,0.745772,correct comission
2023-11-04 12:03:25.006879,click,,
2023-11-04 12:03:25.093225,ct,0.696011,correct comission
2023-11-04 12:03:25.741475,click,,
2023-11-04 12:03:25.871871,ct,0.64825,correct comission
2023-11-04 12:03:26.552062,click,,
2023-11-04 12:03:26.652293,ct,0.680191,correct comission
2023-11-04 12:03:27.399488,click,,
2023-11-04 12:03:27.435786,mt,0.747195,comission error
2023-11-04 12:03:28.216624,ct,,omission error
2023-11-04 12:03:29.008962,click,,
2023-11-04 12:03:28.997591,ct,0.792338,correct comission
2023-11-04 12:03:29.666831,click,,
2023-11-04 12:03:29.775283,ct,0.66924,correct comission
2023-11-04 12:03:30.371736,click,,
2023-11-04 12:03:30.556901,ct,0.596453,correct comission
2023-11-04 12:03:31.175440,click,,
2023-11-04 12:03:31.337678,ct,0.618539,correct comission
2023-11-04 12:03:32.075511,click,,
2023-11-04 12:03:32.120623,ct,0.737833,correct comission
2023-11-04 12:03:32.900610,ct,,omission error
2023-11-04 12:03:33.528299,click,,
2023-11-04 12:03:33.680389,ct,0.627689,correct comission
2023-11-04 12:03:34.336197,click,,
2023-11-04 12:03:34.460076,ct,0.655808,correct comission
2023-11-04 12:03:35.131744,click,,
2023-11-04 12:03:35.241109,mt,0.671668,comission error
2023-11-04 12:03:35.893815,click,,
2023-11-04 12:03:36.018591,ct,0.652706,correct comission
2023-11-04 12:03:36.578479,click,,
2023-11-04 12:03:36.798573,ct,0.559888,correct comission
2023-11-04 12:03:37.492539,click,,
2023-11-04 12:03:37.581605,ct,0.693966,correct comission
2023-11-04 12:03:38.211189,click,,
2023-11-04 12:03:38.363495,ct,0.629584,correct comission
2023-11-04 12:03:39.012163,click,,
2023-11-04 12:03:39.143978,ct,0.648668,correct comission
2023-11-04 12:03:39.587849,click,,
2023-11-04 12:03:39.926106,ct,0.443871,correct comission
2023-11-04 12:03:40.992631,click,,
2023-11-04 12:03:40.710599,ct,1.066525,correct comission
2023-11-04 12:03:41.491921,ct,,omission error
2023-11-04 12:03:42.151258,click,,
2023-11-04 12:03:42.270963,ct,0.659337,correct comission
2023-11-04 12:03:42.995501,click,,
2023-11-04 12:03:43.051506,ct,0.724538,correct comission
2023-11-04 12:03:43.727506,click,,
2023-11-04 12:03:43.831707,ct,0.676,correct comission
2023-11-04 12:03:44.609483,click,,
2023-11-04 12:03:44.610859,ct,0.777776,correct comission
2023-11-04 12:03:45.194917,click,,
2023-11-04 12:03:45.393123,mt,0.584058,comission error
2023-11-04 12:03:45.892511,click,,
2023-11-04 12:03:46.175844,ct,0.499388,correct comission
2023-11-04 12:03:46.578221,click,,
2023-11-04 12:03:46.956666,ct,0.402377,correct comission
2023-11-04 12:03:47.629406,click,,
2023-11-04 12:03:47.738777,ct,0.67274,correct comission
2023-11-04 12:03:48.400848,click,,
2023-11-04 12:03:48.517390,ct,0.662071,correct comission
2023-11-04 12:03:49.300125,ct,,omission error
2023-11-04 12:03:49.909188,click,,
2023-11-04 12:03:50.079752,mt,0.609063,comission error
2023-11-04 12:03:50.720500,click,,
2023-11-04 12:03:50.861509,ct,0.640748,correct comission
2023-11-04 12:03:51.499992,click,,
2023-11-04 12:03:51.640534,ct,0.638483,correct comission
2023-11-04 12:03:52.345345,click,,
2023-11-04 12:03:52.421737,ct,0.704811,correct comission
2023-11-04 12:03:52.993599,click,,
2023-11-04 12:03:53.202290,ct,0.571862,correct comission
2023-11-04 12:03:53.683672,click,,
2023-11-04 12:03:53.982333,ct,0.481382,correct comission
2023-11-04 12:03:54.581547,click,,
2023-11-04 12:03:54.765088,ct,0.599214,correct comission
2023-11-04 12:03:55.522428,click,,
2023-11-04 12:03:55.547874,ct,0.75734,correct comission
2023-11-04 12:03:56.188519,click,,
2023-11-04 12:03:56.328526,ct,0.640645,correct comission
2023-11-04 12:03:56.929230,click,,
2023-11-04 12:03:57.114113,ct,0.600704,correct comission
2023-11-04 12:03:57.808635,click,,
2023-11-04 12:03:57.895365,mt,0.694522,comission error
2023-11-04 12:03:58.673612,ct,,omission error
2023-11-04 12:03:59.227589,click,,
2023-11-04 12:03:59.451437,ct,0.553977,correct comission
2023-11-04 12:04:00.063118,click,,
2023-11-04 12:04:00.229716,ct,0.611681,correct comission
2023-11-04 12:04:00.926507,click,,
2023-11-04 12:04:01.007834,ct,0.696791,correct comission
2023-11-04 12:04:01.747296,click,,
2023-11-04 12:04:01.784435,ct,0.739462,correct comission
2023-11-04 12:04:02.464807,click,,
2023-11-04 12:04:02.564692,mt,0.680372,comission error
2023-11-04 12:04:03.148610,click,,
2023-11-04 12:04:03.344492,ct,0.583918,correct comission
2023-11-04 12:04:04.000053,click,,
2023-11-04 12:04:04.122812,ct,0.655561,correct comission
2023-11-04 12:04:04.741144,click,,
2023-11-04 12:04:04.905280,ct,0.618332,correct comission
2023-11-04 12:04:05.539969,click,,
2023-11-04 12:04:05.686634,ct,0.634689,correct comission
2023-11-04 12:04:06.293556,click,,
2023-11-04 12:04:06.466008,ct,0.606922,correct comission
2023-11-04 12:04:07.124767,click,,
2023-11-04 12:04:07.245358,ct,0.658759,correct comission
2023-11-04 12:04:07.840884,click,,
2023-11-04 12:04:08.024938,ct,0.595526,correct comission
2023-11-04 12:04:08.563447,click,,
2023-11-04 12:04:08.804234,ct,0.538509,correct comission
