time,tag,tr,flag
2023-11-04 11:41:03.525388,ct,,
2023-11-04 11:41:04.301553,ct,,omission error
2023-11-04 11:41:05.098311,click,,
2023-11-04 11:41:05.077044,ct,0.796758,correct comission
2023-11-04 11:41:05.798291,click,,
2023-11-04 11:41:05.850802,mt,0.721247,comission error
2023-11-04 11:41:06.626835,ct,,omission error
2023-11-04 11:41:07.010524,click,,
2023-11-04 11:41:07.401895,ct,0.383689,correct comission
2023-11-04 11:41:07.907803,click,,
2023-11-04 11:41:08.176676,ct,0.505908,correct comission
2023-11-04 11:41:08.678856,click,,
2023-11-04 11:41:08.950111,ct,0.50218,correct comission
2023-11-04 11:41:09.574997,click,,
2023-11-04 11:41:09.724065,ct,0.624886,correct comission
2023-11-04 11:41:10.281772,click,,
2023-11-04 11:41:10.499703,ct,0.557707,correct comission
2023-11-04 11:41:11.077317,click,,
2023-11-04 11:41:11.274811,ct,0.577614,correct comission
2023-11-04 11:41:12.004748,click,,
2023-11-04 11:41:12.048030,ct,0.729937,correct comission
2023-11-04 11:41:12.854739,click,,
2023-11-04 11:41:12.820276,ct,0.806709,correct comission
2023-11-04 11:41:13.593171,ct,,omission error
2023-11-04 11:41:13.968805,click,,
2023-11-04 11:41:14.366874,ct,0.375634,correct comission
2023-11-04 11:41:15.427312,click,,
2023-11-04 11:41:15.140684,ct,1.060438,correct comission
2023-11-04 11:41:15.913835,ct,,omission error
2023-11-04 11:41:16.294446,click,,
2023-11-04 11:41:16.689526,ct,0.380611,correct comission
2023-11-04 11:41:17.742130,click,,
2023-11-04 11:41:17.464575,mt,1.052604,comission error
2023-11-04 11:41:18.441246,click,,
2023-11-04 11:41:18.240127,ct,0.976671,correct comission
2023-11-04 11:41:19.086826,click,,
2023-11-04 11:41:19.014114,ct,0.846699,correct comission
2023-11-04 11:41:19.804396,click,,
2023-11-04 11:41:19.789407,ct,0.790282,correct comission
2023-11-04 11:41:20.622576,click,,
2023-11-04 11:41:20.565028,ct,0.833169,correct comission
2023-11-04 11:41:21.262804,click,,
2023-11-04 11:41:21.342195,ct,0.697776,correct comission
2023-11-04 11:41:22.068689,click,,
2023-11-04 11:41:22.116703,ct,0.726494,correct comission
2023-11-04 11:41:22.621140,click,,
2023-11-04 11:41:22.890213,mt,0.504437,comission error
2023-11-04 11:41:23.316260,click,,
2023-11-04 11:41:23.662505,ct,0.426047,correct comission
2023-11-04 11:41:24.045251,click,,
2023-11-04 11:41:24.436662,ct,0.382746,correct comission
2023-11-04 11:41:24.993786,click,,
2023-11-04 11:41:25.210462,ct,0.557124,correct comission
2023-11-04 11:41:25.614242,click,,
2023-11-04 11:41:25.985094,ct,0.40378,correct comission
2023-11-04 11:41:26.313994,click,,
2023-11-04 11:41:26.759977,ct,0.3289,correct comission
2023-11-04 11:41:27.095971,click,,
2023-11-04 11:41:27.536762,ct,0.335994,correct comission
2023-11-04 11:41:28.343829,click,,
2023-11-04 11:41:28.310496,ct,0.807067,correct comission
2023-11-04 11:41:29.138733,click,,
2023-11-04 11:41:29.084843,mt,0.828237,comission error
2023-11-04 11:41:29.881091,click,,
2023-11-04 11:41:29.859040,ct,0.796248,correct comission
2023-11-04 11:41:30.628506,click,,
2023-11-04 11:41:30.635152,ct,0.769466,correct comission
2023-11-04 11:41:31.313551,click,,
2023-11-04 11:41:31.411058,ct,0.678399,correct comission
2023-11-04 11:41:32.232930,click,,
2023-11-04 11:41:32.187373,ct,0.821872,correct comission
2023-11-04 11:41:33.104419,click,,
2023-11-04 11:41:32.963114,ct,0.917046,correct comission
2023-11-04 11:41:33.970490,click,,
