time,tag,tr,flag
2023-11-05 15:29:12.696718,ct,,
2023-11-05 15:29:13.599013,click,,
2023-11-05 15:29:13.542162,ct,0.902295,correct comission
2023-11-05 15:29:14.307463,click,,
2023-11-05 15:29:14.386084,ct,0.765301,correct comission
2023-11-05 15:29:15.171988,click,,
2023-11-05 15:29:15.220516,ct,0.785904,correct comission
2023-11-05 15:29:15.986115,click,,
2023-11-05 15:29:16.061391,ct,0.765599,correct comission
2023-11-05 15:29:16.577811,click,,
2023-11-05 15:29:16.887896,ct,0.51642,correct comission
2023-11-05 15:29:17.433045,click,,
2023-11-05 15:29:17.719323,ct,0.545149,correct comission
2023-11-05 15:29:18.476468,click,,
2023-11-05 15:29:18.553154,ct,0.757145,correct comission
2023-11-05 15:29:19.143361,click,,
2023-11-05 15:29:19.386217,ct,0.590207,correct comission
2023-11-05 15:29:19.887961,click,,
2023-11-05 15:29:20.221760,ct,0.501744,correct comission
2023-11-05 15:29:20.735175,click,,
2023-11-05 15:29:21.059417,ct,0.513415,correct comission
2023-11-05 15:29:21.633972,click,,
2023-11-05 15:29:21.902842,ct,0.574555,correct comission
2023-11-05 15:29:22.391027,click,,
2023-11-05 15:29:22.745085,mt,0.488185,comission error
2023-11-05 15:29:23.261145,click,,
2023-11-05 15:29:23.587265,ct,0.51606,correct comission
2023-11-05 15:29:24.183610,click,,
2023-11-05 15:29:24.424967,ct,0.596345,correct comission
2023-11-05 15:29:25.022098,click,,
2023-11-05 15:29:25.265902,ct,0.597131,correct comission
2023-11-05 15:29:25.966270,click,,
2023-11-05 15:29:26.106113,ct,0.700368,correct comission
2023-11-05 15:29:26.916178,click,,
2023-11-05 15:29:26.949027,ct,0.810065,correct comission
2023-11-05 15:29:27.906732,click,,
2023-11-05 15:29:27.790575,ct,0.957705,correct comission
2023-11-05 15:29:28.639675,ct,,omission error
2023-11-05 15:29:29.011865,click,,
2023-11-05 15:29:29.476762,ct,0.37219,correct comission
2023-11-05 15:29:29.936175,click,,
2023-11-05 15:29:30.306937,ct,0.459413,correct comission
2023-11-05 15:29:30.764604,click,,
2023-11-05 15:29:31.130787,ct,0.457667,correct comission
2023-11-05 15:29:31.715065,click,,
2023-11-05 15:29:31.972483,ct,0.584278,correct comission
2023-11-05 15:29:32.542988,click,,
2023-11-05 15:29:32.812749,ct,0.570505,correct comission
2023-11-05 15:29:33.488753,click,,
2023-11-05 15:29:33.650060,mt,0.676004,comission error
2023-11-05 15:29:34.499245,ct,,omission error
2023-11-05 15:29:34.866618,click,,
2023-11-05 15:29:35.343139,ct,0.367373,correct comission
2023-11-05 15:29:35.765026,click,,
2023-11-05 15:29:36.188446,ct,0.421887,correct comission
2023-11-05 15:29:36.624661,click,,
2023-11-05 15:29:37.026764,ct,0.436215,correct comission
2023-11-05 15:29:37.503532,click,,
2023-11-05 15:29:37.872713,mt,0.476768,comission error
2023-11-05 15:29:38.366210,click,,
2023-11-05 15:29:38.704931,ct,0.493497,correct comission
2023-11-05 15:29:39.477579,click,,
2023-11-05 15:29:39.551978,ct,0.772648,correct comission
2023-11-05 15:29:40.388275,ct,,omission error
2023-11-05 15:29:40.864470,click,,
2023-11-05 15:29:41.224995,ct,0.476195,correct comission
2023-11-05 15:29:41.887156,click,,
2023-11-05 15:29:42.059547,ct,0.662161,correct comission
2023-11-05 15:29:42.948260,click,,
2023-11-05 15:29:42.903024,ct,0.888713,correct comission
2023-11-05 15:29:43.887350,click,,
2023-11-05 15:29:43.748424,ct,0.984326,correct comission
2023-11-05 15:29:44.583798,ct,,omission error
2023-11-05 15:29:45.101857,click,,
2023-11-05 15:29:45.423449,ct,0.518059,correct comission
2023-11-05 15:29:45.896694,click,,
2023-11-05 15:29:46.269541,ct,0.473245,correct comission
2023-11-05 15:29:46.791492,click,,
2023-11-05 15:29:47.105843,ct,0.521951,correct comission
2023-11-05 15:29:48.014323,click,,
2023-11-05 15:29:47.947100,ct,0.90848,correct comission
2023-11-05 15:29:48.720901,click,,
2023-11-05 15:29:48.780809,ct,0.773801,correct comission
2023-11-05 15:29:49.442542,click,,
2023-11-05 15:29:49.626546,ct,0.661733,correct comission
2023-11-05 15:29:50.320624,click,,
2023-11-05 15:29:50.463586,ct,0.694078,correct comission
2023-11-05 15:29:51.228497,click,,
2023-11-05 15:29:51.292877,ct,0.764911,correct comission
2023-11-05 15:29:51.896552,click,,
2023-11-05 15:29:52.130403,mt,0.603675,comission error
2023-11-05 15:29:52.806861,click,,
2023-11-05 15:29:52.961872,ct,0.676458,correct comission
2023-11-05 15:29:54.101999,click,,
2023-11-05 15:29:53.800033,ct,1.140127,correct comission
2023-11-05 15:29:54.635739,ct,,omission error
2023-11-05 15:29:55.173812,click,,
2023-11-05 15:29:55.493332,ct,0.538073,correct comission
2023-11-05 15:29:56.068708,click,,
2023-11-05 15:29:56.334018,ct,0.575376,correct comission
2023-11-05 15:29:56.960605,click,,
2023-11-05 15:29:57.170856,ct,0.626587,correct comission
2023-11-05 15:29:57.720299,click,,
2023-11-05 15:29:58.006545,ct,0.549443,correct comission
2023-11-05 15:29:58.567774,click,,
2023-11-05 15:29:58.835324,ct,0.561229,correct comission
2023-11-05 15:29:59.463327,click,,
2023-11-05 15:29:59.677819,ct,0.628003,correct comission
2023-11-05 15:30:00.400329,click,,
2023-11-05 15:30:00.513606,mt,0.72251,comission error
2023-11-05 15:30:01.610733,click,,
2023-11-05 15:30:01.345524,ct,1.097127,correct comission
2023-11-05 15:30:02.176180,ct,,omission error
2023-11-05 15:30:02.499393,click,,
2023-11-05 15:30:03.007002,ct,0.323213,correct comission
2023-11-05 15:30:03.412324,click,,
2023-11-05 15:30:03.843352,ct,0.405322,correct comission
2023-11-05 15:30:04.433675,click,,
2023-11-05 15:30:04.682464,ct,0.590323,correct comission
2023-11-05 15:30:05.264109,click,,
2023-11-05 15:30:05.527683,ct,0.581645,correct comission
2023-11-05 15:30:06.057145,click,,
2023-11-05 15:30:06.369957,ct,0.529462,correct comission
2023-11-05 15:30:06.935406,click,,
2023-11-05 15:30:07.227931,mt,0.565449,comission error
2023-11-05 15:30:08.003953,click,,
2023-11-05 15:30:08.076674,ct,0.776022,correct comission
2023-11-05 15:30:08.902280,click,,
2023-11-05 15:30:08.920270,ct,0.825606,correct comission
2023-11-05 15:30:09.730273,click,,
2023-11-05 15:30:09.765911,ct,0.810003,correct comission
2023-11-05 15:30:10.831704,click,,
2023-11-05 15:30:10.593009,ct,1.065793,correct comission
2023-11-05 15:30:11.424494,ct,,omission error
2023-11-05 15:30:11.815868,click,,
2023-11-05 15:30:12.261519,ct,0.391374,correct comission
2023-11-05 15:30:12.900710,click,,
2023-11-05 15:30:13.119771,ct,0.639191,correct comission
2023-11-05 15:30:13.770328,click,,
2023-11-05 15:30:13.962490,ct,0.650557,correct comission
2023-11-05 15:30:14.661309,click,,
2023-11-05 15:30:14.800016,ct,0.698819,correct comission
2023-11-05 15:30:15.740855,click,,
2023-11-05 15:30:15.639065,ct,0.940839,correct comission
2023-11-05 15:30:16.778183,click,,
2023-11-05 15:30:16.473064,mt,1.139118,comission error
2023-11-05 15:30:17.304689,ct,,omission error
2023-11-05 15:30:17.833652,click,,
2023-11-05 15:30:18.139481,ct,0.528963,correct comission
2023-11-05 15:30:18.733157,click,,
2023-11-05 15:30:18.983232,ct,0.593676,correct comission
2023-11-05 15:30:19.560653,click,,
2023-11-05 15:30:19.828347,ct,0.577421,correct comission
2023-11-05 15:30:20.660101,click,,
2023-11-05 15:30:20.664033,mt,0.831754,comission error
2023-11-05 15:30:21.617800,click,,
2023-11-05 15:30:21.494726,ct,0.953767,correct comission
2023-11-05 15:30:22.603203,click,,
2023-11-05 15:30:22.346015,ct,1.108477,correct comission
2023-11-05 15:30:23.183269,ct,,omission error
2023-11-05 15:30:23.584919,click,,
2023-11-05 15:30:24.022161,ct,0.40165,correct comission
2023-11-05 15:30:24.358017,click,,
2023-11-05 15:30:24.870700,ct,0.335856,correct comission
2023-11-05 15:30:25.238524,click,,
2023-11-05 15:30:25.705482,ct,0.367824,correct comission
2023-11-05 15:30:26.206108,click,,
2023-11-05 15:30:26.544673,ct,0.500626,correct comission
2023-11-05 15:30:27.079141,click,,
2023-11-05 15:30:27.376651,ct,0.534468,correct comission
2023-11-05 15:30:27.979559,click,,
2023-11-05 15:30:28.202716,mt,0.602908,comission error
2023-11-05 15:30:28.778857,click,,
2023-11-05 15:30:29.038849,ct,0.576141,correct comission
2023-11-05 15:30:29.872500,ct,,omission error
2023-11-05 15:30:30.564826,click,,
2023-11-05 15:30:30.708436,ct,0.692326,correct comission
2023-11-05 15:30:31.652646,click,,
2023-11-05 15:30:31.551840,ct,0.94421,correct comission
2023-11-05 15:30:32.360551,click,,
2023-11-05 15:30:32.398830,ct,0.808711,correct comission
2023-11-05 15:30:33.148565,click,,
2023-11-05 15:30:33.238618,ct,0.749735,correct comission
2023-11-05 15:30:33.815415,click,,
2023-11-05 15:30:34.077031,ct,0.576797,correct comission
2023-11-05 15:30:34.635535,click,,
2023-11-05 15:30:34.916744,ct,0.558504,correct comission
2023-11-05 15:30:35.455850,click,,
2023-11-05 15:30:35.763283,ct,0.539106,correct comission
2023-11-05 15:30:36.649525,click,,
2023-11-05 15:30:36.612788,ct,0.886242,correct comission
2023-11-05 15:30:37.676798,click,,
2023-11-05 15:30:37.447460,ct,1.06401,correct comission
2023-11-05 15:30:38.301762,mt,,correct omission
2023-11-05 15:30:38.647909,click,,
2023-11-05 15:30:39.128915,ct,0.346147,correct comission
2023-11-05 15:30:39.802713,click,,
2023-11-05 15:30:39.962594,ct,0.673798,correct comission
2023-11-05 15:30:40.649382,click,,
2023-11-05 15:30:40.818036,ct,0.686788,correct comission
2023-11-05 15:30:41.495060,click,,
2023-11-05 15:30:41.664271,ct,0.677024,correct comission
2023-11-05 15:30:42.380101,click,,
2023-11-05 15:30:42.498921,ct,0.71583,correct comission
2023-11-05 15:30:43.389553,click,,
2023-11-05 15:30:43.339975,ct,0.890632,correct comission
2023-11-05 15:30:44.265810,click,,
2023-11-05 15:30:44.183102,ct,0.925835,correct comission
2023-11-05 15:30:45.256713,click,,
2023-11-05 15:30:45.021060,mt,1.073611,comission error
2023-11-05 15:30:45.863233,ct,,omission error
2023-11-05 15:30:46.457358,click,,
2023-11-05 15:30:46.717049,ct,0.594125,correct comission
2023-11-05 15:30:47.543862,ct,,omission error
2023-11-05 15:30:47.927918,click,,
2023-11-05 15:30:48.381177,ct,0.384056,correct comission
2023-11-05 15:30:48.984140,click,,
2023-11-05 15:30:49.210871,ct,0.602963,correct comission
2023-11-05 15:30:49.932110,click,,
2023-11-05 15:30:50.052810,ct,0.721239,correct comission
2023-11-05 15:30:50.764472,click,,
2023-11-05 15:30:50.882166,ct,0.711662,correct comission
2023-11-05 15:30:51.627850,click,,
2023-11-05 15:30:51.718694,ct,0.745684,correct comission
2023-11-05 15:30:52.460902,click,,
2023-11-05 15:30:52.548687,ct,0.742208,correct comission
2023-11-05 15:30:53.438068,click,,
2023-11-05 15:30:53.388370,ct,0.889381,correct comission
2023-11-05 15:30:54.351747,click,,
2023-11-05 15:30:54.232608,ct,0.963377,correct comission
2023-11-05 15:30:55.085273,click,,
2023-11-05 15:30:55.086453,mt,0.852665,comission error
2023-11-05 15:30:55.923886,ct,,omission error
2023-11-05 15:30:56.299687,click,,
2023-11-05 15:30:56.768545,ct,0.375801,correct comission
2023-11-05 15:30:57.239422,click,,
2023-11-05 15:30:57.612910,ct,0.470877,correct comission
2023-11-05 15:30:58.376440,click,,
2023-11-05 15:30:58.454281,ct,0.76353,correct comission
2023-11-05 15:30:59.305108,ct,,omission error
2023-11-05 15:30:59.803350,click,,
2023-11-05 15:31:00.137164,ct,0.498242,correct comission
2023-11-05 15:31:00.761435,click,,
2023-11-05 15:31:00.987983,ct,0.624271,correct comission
2023-11-05 15:31:01.835708,ct,,omission error
2023-11-05 15:31:02.353455,click,,
2023-11-05 15:31:02.702628,ct,0.517747,correct comission
2023-11-05 15:31:03.232516,click,,
2023-11-05 15:31:03.542348,ct,0.529888,correct comission
2023-11-05 15:31:04.243187,click,,
2023-11-05 15:31:04.375210,ct,0.700839,correct comission
2023-11-05 15:31:05.273845,click,,
2023-11-05 15:31:05.210611,ct,0.898635,correct comission
2023-11-05 15:31:05.964911,click,,
2023-11-05 15:31:06.050475,ct,0.7543,correct comission
2023-11-05 15:31:07.075136,click,,
2023-11-05 15:31:06.892737,ct,1.024661,correct comission
2023-11-05 15:31:07.737238,ct,,omission error
2023-11-05 15:31:08.321333,click,,
2023-11-05 15:31:08.580769,mt,0.584095,comission error
2023-11-05 15:31:09.118729,click,,
2023-11-05 15:31:09.415415,ct,0.53796,correct comission
2023-11-05 15:31:10.076170,click,,
2023-11-05 15:31:10.249452,ct,0.660755,correct comission
2023-11-05 15:31:11.023670,click,,
2023-11-05 15:31:11.088711,ct,0.774218,correct comission
2023-11-05 15:31:12.195326,click,,
2023-11-05 15:31:11.961955,ct,1.106615,correct comission
2023-11-05 15:31:12.809453,ct,,omission error
2023-11-05 15:31:13.323398,click,,
2023-11-05 15:31:13.656194,ct,0.513945,correct comission
2023-11-05 15:31:14.498566,ct,,omission error
2023-11-05 15:31:14.860506,click,,
2023-11-05 15:31:15.334510,ct,0.36194,correct comission
2023-11-05 15:31:15.906248,click,,
2023-11-05 15:31:16.184036,ct,0.571738,correct comission
2023-11-05 15:31:16.892824,click,,
2023-11-05 15:31:17.036178,mt,0.708788,comission error
2023-11-05 15:31:17.873924,/c,,
2023-11-05 15:31:18.640173,click,0.412918,correct comission
2023-11-05 15:31:18.711967,/c,,
2023-11-05 15:31:19.488905,click,1.062592,correct comission
2023-11-05 15:31:19.555949,/c,,omission error
2023-11-05 15:31:20.645348,click,,
2023-11-05 15:31:20.392339,/c,0.479968,correct comission
2023-11-05 15:31:21.239237,/c,,
2023-11-05 15:31:21.584604,click,0.589653,correct comission
2023-11-05 15:31:22.071353,/c,,
2023-11-05 15:31:22.622725,click,0.67604,correct comission
2023-11-05 15:31:22.905912,/c,,
2023-11-05 15:31:23.779698,click,0.642028,correct comission
2023-11-05 15:31:23.743607,/c,,
2023-11-05 15:31:24.752633,click,0.573626,correct comission
2023-11-05 15:31:24.585504,/m,,
2023-11-05 15:31:25.413990,/c,0.576879,comission error
2023-11-05 15:31:26.142074,click,,
2023-11-05 15:31:26.255185,/c,0.600569,correct comission
2023-11-05 15:31:27.187875,click,,omission error
2023-11-05 15:31:27.104221,/c,,
2023-11-05 15:31:27.953262,/c,0.439585,correct comission
2023-11-05 15:31:28.613076,click,,
2023-11-05 15:31:28.789755,/c,0.570492,correct comission
2023-11-05 15:31:29.558650,click,,
2023-11-05 15:31:29.618512,/c,0.510784,correct comission
2023-11-05 15:31:30.758119,click,,
2023-11-05 15:31:30.471865,/c,0.471963,correct comission
2023-11-05 15:31:31.298624,/c,,
2023-11-05 15:31:31.875625,click,0.546102,correct comission
2023-11-05 15:31:32.133088,/c,,
2023-11-05 15:31:33.022100,click,0.537712,correct comission
2023-11-05 15:31:32.976494,/c,,
2023-11-05 15:31:33.813828,click,0.560741,correct comission
2023-11-05 15:31:33.816936,/m,,
2023-11-05 15:31:34.660636,/c,0.534355,comission error
2023-11-05 15:31:35.187469,click,,
2023-11-05 15:31:35.497043,/c,0.56664,correct comission
2023-11-05 15:31:36.113701,click,,omission error
2023-11-05 15:31:36.331843,/c,,
2023-11-05 15:31:36.968360,click,0.630733,correct comission
2023-11-05 15:31:37.162645,/c,,
2023-11-05 15:31:38.163171,click,0.750796,correct comission
2023-11-05 15:31:37.996793,/c,,
2023-11-05 15:31:38.832858,/c,0.828059,correct comission
2023-11-05 15:31:39.277206,click,,
2023-11-05 15:31:39.698574,/c,0.750376,correct comission
2023-11-05 15:31:40.311697,click,,
2023-11-05 15:31:40.537625,/c,0.719159,correct comission
2023-11-05 15:31:41.199137,click,,
2023-11-05 15:31:41.368471,/m,0.649296,correct comission
2023-11-05 15:31:42.202070,/c,,
2023-11-05 15:31:42.686698,click,0.874596,comission error
2023-11-05 15:31:43.055839,/c,,omission error
2023-11-05 15:31:43.860795,click,,
2023-11-05 15:31:43.888551,/c,0.350421,correct comission
2023-11-05 15:31:44.726827,/c,,
2023-11-05 15:31:45.264532,click,0.567399,correct comission
2023-11-05 15:31:45.580222,/c,,
2023-11-05 15:31:46.281034,click,0.621553,correct comission
2023-11-05 15:31:46.417174,/c,,
2023-11-05 15:31:47.299062,click,0.739462,comission error
2023-11-05 15:31:47.252687,/c,,omission error
2023-11-05 15:31:48.094258,/c,,
2023-11-05 15:31:48.447271,click,0.40199,correct comission
2023-11-05 15:31:48.918112,/c,,
2023-11-05 15:31:49.541791,click,0.596822,correct comission
2023-11-05 15:31:49.755386,/m,,
2023-11-05 15:31:50.879314,click,0.601944,correct comission
2023-11-05 15:31:50.586638,/c,,
2023-11-05 15:31:51.421485,/c,0.722911,correct comission
2023-11-05 15:31:52.017905,click,,
2023-11-05 15:31:52.257257,/c,0.671562,correct comission
2023-11-05 15:31:53.300949,click,,
2023-11-05 15:31:53.087743,/c,0.733842,correct comission
2023-11-05 15:31:53.934450,/m,,
2023-11-05 15:31:54.781843,/c,0.817926,correct comission
2023-11-05 15:31:55.297521,click,,
2023-11-05 15:31:55.622741,/c,0.847238,correct comission
2023-11-05 15:31:56.678569,click,,
2023-11-05 15:31:56.482359,/c,1.046988,correct comission
2023-11-05 15:31:57.333492,/c,,omission error
2023-11-05 15:31:57.750258,click,,
2023-11-05 15:31:58.171278,/c,0.583387,correct comission
2023-11-05 15:31:58.610867,click,,
2023-11-05 15:31:58.998599,/c,0.628104,correct comission
2023-11-05 15:31:59.483479,click,,
2023-11-05 15:31:59.838403,/m,0.570183,correct comission
2023-11-05 15:32:00.683313,/c,,
2023-11-05 15:32:01.194896,click,0.573745,comission error
2023-11-05 15:32:01.516538,/c,,
2023-11-05 15:32:02.118726,click,0.577935,correct comission
2023-11-05 15:32:02.353374,/c,,
2023-11-05 15:32:03.034156,click,0.723151,correct comission
2023-11-05 15:32:03.200970,/c,,
2023-11-05 15:32:03.847866,click,0.618285,correct comission
2023-11-05 15:32:04.040654,/c,,
2023-11-05 15:32:04.902886,click,0.599701,correct comission
2023-11-05 15:32:04.879315,/c,,
2023-11-05 15:32:05.542710,click,0.685066,correct comission
2023-11-05 15:32:05.722816,/c,,
2023-11-05 15:32:06.582904,click,0.689496,correct comission
2023-11-05 15:32:06.548342,/c,,
2023-11-05 15:32:07.494770,click,0.733948,correct comission
2023-11-05 15:32:07.382249,/c,,
2023-11-05 15:32:08.502653,click,0.698957,correct comission
2023-11-05 15:32:08.211267,/c,,
2023-11-05 15:32:09.309218,click,0.810615,correct comission
2023-11-05 15:32:09.048778,/m,,correct omission
2023-11-05 15:32:09.888923,/c,,
2023-11-05 15:32:10.458333,click,0.418792,correct comission
2023-11-05 15:32:10.719159,/c,,
2023-11-05 15:32:11.419212,click,0.635045,correct comission
2023-11-05 15:32:11.543645,/c,,
2023-11-05 15:32:12.513887,click,0.703391,correct comission
2023-11-05 15:32:12.378420,/c,,omission error
2023-11-05 15:32:13.212804,/c,,
2023-11-05 15:32:13.699423,click,0.699162,correct comission
2023-11-05 15:32:14.043270,/c,,
