time,tag,tr,flag
2023-11-06 19:19:12.863251,ct,,
2023-11-06 19:19:13.711809,ct,,omission error
2023-11-06 19:19:14.548200,ct,,omission error
2023-11-06 19:19:15.391566,ct,,omission error
2023-11-06 19:19:15.978700,click,,
2023-11-06 19:19:16.230872,mt,0.587134,comission error
2023-11-06 19:19:16.769939,click,,
2023-11-06 19:19:17.063750,ct,0.539067,correct comission
2023-11-06 19:19:17.965680,click,,
2023-11-06 19:19:17.896915,ct,0.90193,correct comission
2023-11-06 19:19:18.918923,click,,
2023-11-06 19:19:18.729994,ct,1.022008,correct comission
2023-11-06 19:19:19.763285,click,,
2023-11-06 19:19:19.563662,ct,1.033291,correct comission
2023-11-06 19:19:20.487702,click,,
2023-11-06 19:19:20.417825,ct,0.92404,correct comission
2023-11-06 19:19:21.113221,click,,
2023-11-06 19:19:21.270408,ct,0.695396,correct comission
2023-11-06 19:19:21.784664,click,,
2023-11-06 19:19:22.111852,ct,0.514256,correct comission
2023-11-06 19:19:22.601054,click,,
2023-11-06 19:19:22.943005,ct,0.489202,correct comission
2023-11-06 19:19:23.581094,click,,
2023-11-06 19:19:23.776084,ct,0.638089,correct comission
2023-11-06 19:19:24.491518,click,,
2023-11-06 19:19:24.613531,ct,0.715434,correct comission
2023-11-06 19:19:25.339880,click,,
2023-11-06 19:19:25.447327,ct,0.726349,correct comission
2023-11-06 19:19:26.203314,click,,
2023-11-06 19:19:26.299025,mt,0.755987,comission error
2023-11-06 19:19:27.144019,ct,,omission error
2023-11-06 19:19:27.709577,click,,
2023-11-06 19:19:27.979013,ct,0.565558,correct comission
2023-11-06 19:19:28.601669,click,,
2023-11-06 19:19:28.830432,mt,0.622656,comission error
2023-11-06 19:19:29.396936,click,,
2023-11-06 19:19:29.651602,ct,0.566504,correct comission
2023-11-06 19:19:30.240232,click,,
2023-11-06 19:19:30.492427,ct,0.58863,correct comission
2023-11-06 19:19:31.066237,click,,
2023-11-06 19:19:31.343503,ct,0.57381,correct comission
2023-11-06 19:19:31.923251,click,,
2023-11-06 19:19:32.194848,ct,0.579748,correct comission
2023-11-06 19:19:32.763977,click,,
2023-11-06 19:19:33.024034,ct,0.569129,correct comission
2023-11-06 19:19:33.612542,click,,
2023-11-06 19:19:33.867241,ct,0.588508,correct comission
2023-11-06 19:19:34.700144,click,,
2023-11-06 19:19:34.719236,ct,0.832903,correct comission
2023-11-06 19:19:35.647680,click,,
2023-11-06 19:19:35.568684,ct,0.928444,correct comission
2023-11-06 19:19:36.536563,click,,
2023-11-06 19:19:36.402344,ct,0.967879,correct comission
2023-11-06 19:19:37.232109,click,,
2023-11-06 19:19:37.238251,ct,0.829765,correct comission
2023-11-06 19:19:38.071497,ct,,omission error
2023-11-06 19:19:38.494668,click,,
2023-11-06 19:19:38.909659,ct,0.423171,correct comission
2023-11-06 19:19:39.522745,click,,
2023-11-06 19:19:39.753752,ct,0.613086,correct comission
2023-11-06 19:19:40.282829,click,,
2023-11-06 19:19:40.606037,ct,0.529077,correct comission
2023-11-06 19:19:41.103316,click,,
2023-11-06 19:19:41.445343,ct,0.497279,correct comission
2023-11-06 19:19:41.920177,click,,
2023-11-06 19:19:42.300408,ct,0.474834,correct comission
2023-11-06 19:19:42.809251,click,,
2023-11-06 19:19:43.139678,ct,0.508843,correct comission
2023-11-06 19:19:43.637306,click,,
2023-11-06 19:19:43.983170,mt,0.497628,comission error
2023-11-06 19:19:44.443818,click,,
2023-11-06 19:19:44.823253,ct,0.460648,correct comission
2023-11-06 19:19:45.611267,click,,
2023-11-06 19:19:45.653035,ct,0.788014,correct comission
2023-11-06 19:19:46.360837,click,,
2023-11-06 19:19:46.486715,ct,0.707802,correct comission
2023-11-06 19:19:47.135316,click,,
2023-11-06 19:19:47.322391,ct,0.648601,correct comission
2023-11-06 19:19:47.885825,click,,
2023-11-06 19:19:48.168481,ct,0.563434,correct comission
2023-11-06 19:19:48.746563,click,,
2023-11-06 19:19:49.012978,ct,0.578082,correct comission
2023-11-06 19:19:49.532241,click,,
2023-11-06 19:19:49.850513,ct,0.519263,correct comission
2023-11-06 19:19:50.420118,click,,
2023-11-06 19:19:50.695646,ct,0.569605,correct comission
2023-11-06 19:19:51.214883,click,,
2023-11-06 19:19:51.535317,ct,0.519237,correct comission
2023-11-06 19:19:52.156846,click,,
2023-11-06 19:19:52.368465,mt,0.621529,comission error
2023-11-06 19:19:53.007787,click,,
2023-11-06 19:19:53.207203,ct,0.639322,correct comission
2023-11-06 19:19:54.037925,click,,
2023-11-06 19:19:54.051026,ct,0.830722,correct comission
2023-11-06 19:19:54.818059,click,,
2023-11-06 19:19:54.899276,ct,0.767033,correct comission
2023-11-06 19:19:55.795060,click,,
2023-11-06 19:19:55.750113,ct,0.895784,correct comission
2023-11-06 19:19:56.607164,click,,
2023-11-06 19:19:56.595041,ct,0.857051,correct comission
2023-11-06 19:19:57.484101,click,,
2023-11-06 19:19:57.437209,ct,0.88906,correct comission
