time,tag,tr,flag
2023-11-13 19:06:08.949231,ct,,
2023-11-13 19:06:09.527711,click,,
2023-11-13 19:06:09.779078,ct,0.57848,correct comission
2023-11-13 19:06:10.155989,click,,
2023-11-13 19:06:10.614275,mt,0.376911,comission error
2023-11-13 19:06:11.449392,ct,,omission error
2023-11-13 19:06:11.930649,click,,
2023-11-13 19:06:12.275197,ct,0.481257,correct comission
2023-11-13 19:06:12.615691,click,,
2023-11-13 19:06:13.115941,ct,0.340494,correct comission
2023-11-13 19:06:14.075638,click,,
2023-11-13 19:06:13.958268,ct,0.959697,correct comission
2023-11-13 19:06:14.781350,click,,
2023-11-13 19:06:14.800877,ct,0.823082,correct comission
2023-11-13 19:06:15.639422,ct,,omission error
2023-11-13 19:06:16.482416,ct,,omission error
2023-11-13 19:06:17.312011,ct,,omission error
2023-11-13 19:06:18.151132,ct,,omission error
2023-11-13 19:06:18.998216,ct,,omission error
2023-11-13 19:06:19.830382,ct,,omission error
2023-11-13 19:06:20.654266,ct,,omission error
2023-11-13 19:06:21.491526,ct,,omission error
2023-11-13 19:06:22.339585,ct,,omission error
2023-11-13 19:06:23.188746,mt,,correct omission
2023-11-13 19:06:24.025622,ct,,omission error
2023-11-13 19:06:24.861879,ct,,omission error
2023-11-13 19:06:25.697451,ct,,omission error
2023-11-13 19:06:26.534270,ct,,omission error
2023-11-13 19:06:27.366668,ct,,omission error
2023-11-13 19:06:28.197097,mt,,correct omission
2023-11-13 19:06:29.035345,ct,,omission error
2023-11-13 19:06:29.867967,ct,,omission error
2023-11-13 19:06:30.693076,ct,,omission error
2023-11-13 19:06:31.525739,ct,,omission error
2023-11-13 19:06:32.365405,ct,,omission error
2023-11-13 19:06:33.206483,ct,,omission error
2023-11-13 19:06:34.045975,ct,,omission error
2023-11-13 19:06:34.891049,ct,,omission error
2023-11-13 19:06:35.729231,ct,,omission error
2023-11-13 19:06:36.571680,ct,,omission error
2023-11-13 19:06:37.406922,ct,,omission error
2023-11-13 19:06:38.245721,ct,,omission error
2023-11-13 19:06:39.078756,mt,,correct omission
2023-11-13 19:06:39.907563,ct,,omission error
2023-11-13 19:06:40.739084,ct,,omission error
2023-11-13 19:06:41.627890,ct,,omission error
2023-11-13 19:06:42.180157,click,,
2023-11-13 19:06:42.451050,ct,0.552267,correct comission
2023-11-13 19:06:42.925807,click,,
2023-11-13 19:06:43.299014,ct,0.474757,correct comission
2023-11-13 19:06:43.826399,click,,
2023-11-13 19:06:44.143305,ct,0.527385,correct comission
2023-11-13 19:06:44.610550,click,,
2023-11-13 19:06:44.985815,ct,0.467245,correct comission
2023-11-13 19:06:45.341428,click,,
2023-11-13 19:06:45.831557,ct,0.355613,correct comission
2023-11-13 19:06:46.195667,click,,
2023-11-13 19:06:46.665136,mt,0.36411,comission error
2023-11-13 19:06:47.730444,click,,
2023-11-13 19:06:47.502264,ct,1.065308,correct comission
2023-11-13 19:06:48.445871,click,,
2023-11-13 19:06:48.347577,ct,0.943607,correct comission
2023-11-13 19:06:49.316457,click,,
2023-11-13 19:06:49.194324,ct,0.96888,correct comission
2023-11-13 19:06:50.000815,click,,
2023-11-13 19:06:50.028789,ct,0.806491,correct comission
2023-11-13 19:06:50.690379,click,,
2023-11-13 19:06:50.872876,ct,0.66159,correct comission
2023-11-13 19:06:51.476769,click,,
