time,tag,tr,flag
2023-11-13 18:32:57.457294,ct,,
2023-11-13 18:32:58.300600,ct,,omission error
2023-11-13 18:32:59.143890,ct,,omission error
2023-11-13 18:33:00.264778,click,,
2023-11-13 18:32:59.984046,ct,1.120888,correct comission
2023-11-13 18:33:00.984097,click,,
2023-11-13 18:33:00.824654,ct,1.000051,correct comission
2023-11-13 18:33:01.627671,click,,
2023-11-13 18:33:01.663400,ct,0.803017,correct comission
2023-11-13 18:33:02.379868,click,,
2023-11-13 18:33:02.486913,ct,0.716468,correct comission
2023-11-13 18:33:03.188335,click,,
2023-11-13 18:33:03.323008,ct,0.701422,correct comission
2023-11-13 18:33:03.763066,click,,
2023-11-13 18:33:04.153729,ct,0.440058,correct comission
2023-11-13 18:33:04.969753,click,,
2023-11-13 18:33:05.002237,ct,0.816024,correct comission
2023-11-13 18:33:05.836763,ct,,omission error
2023-11-13 18:33:06.300953,click,,
2023-11-13 18:33:06.670121,ct,0.46419,correct comission
2023-11-13 18:33:07.482870,click,,
2023-11-13 18:33:07.504824,ct,0.812749,correct comission
2023-11-13 18:33:08.390244,click,,
2023-11-13 18:33:08.344901,ct,0.88542,correct comission
2023-11-13 18:33:09.324447,click,,
2023-11-13 18:33:09.183652,ct,0.979546,correct comission
2023-11-13 18:33:10.049025,click,,
2023-11-13 18:33:10.023228,mt,0.865373,comission error
2023-11-13 18:33:10.858208,click,,
2023-11-13 18:33:10.863648,ct,0.83498,correct comission
2023-11-13 18:33:11.676714,click,,
2023-11-13 18:33:11.699441,ct,0.813066,correct comission
2023-11-13 18:33:12.681901,click,,
2023-11-13 18:33:12.534793,ct,0.98246,correct comission
2023-11-13 18:33:13.471829,click,,
2023-11-13 18:33:13.368011,ct,0.937036,correct comission
2023-11-13 18:33:14.346141,click,,
2023-11-13 18:33:14.204352,ct,0.97813,correct comission
2023-11-13 18:33:15.032843,ct,,omission error
2023-11-13 18:33:15.749788,click,,
2023-11-13 18:33:15.872100,ct,0.716945,correct comission
2023-11-13 18:33:16.704343,ct,,omission error
2023-11-13 18:33:17.164222,click,,
2023-11-13 18:33:17.543870,ct,0.459879,correct comission
2023-11-13 18:33:18.376365,ct,,omission error
2023-11-13 18:33:18.736811,click,,
2023-11-13 18:33:19.218294,ct,0.360446,correct comission
2023-11-13 18:33:20.064583,ct,,omission error
2023-11-13 18:33:20.859447,click,,
2023-11-13 18:33:20.912959,mt,0.794864,comission error
2023-11-13 18:33:21.745419,ct,,omission error
2023-11-13 18:33:22.498473,click,,
2023-11-13 18:33:22.592430,mt,0.753054,comission error
2023-11-13 18:33:23.612457,click,,
2023-11-13 18:33:23.438914,ct,1.020027,correct comission
2023-11-13 18:33:24.277917,ct,,omission error
2023-11-13 18:33:24.641675,click,,
2023-11-13 18:33:25.124582,ct,0.363758,correct comission
2023-11-13 18:33:26.195831,click,,
2023-11-13 18:33:25.955882,ct,1.071249,correct comission
2023-11-13 18:33:27.099245,click,,
2023-11-13 18:33:26.791404,ct,1.143363,correct comission
2023-11-13 18:33:27.629541,ct,,omission error
2023-11-13 18:33:27.963927,click,,
2023-11-13 18:33:28.477688,ct,0.334386,correct comission
2023-11-13 18:33:28.800491,click,,
2023-11-13 18:33:29.324143,ct,0.322803,correct comission
2023-11-13 18:33:30.017313,click,,
2023-11-13 18:33:30.162591,mt,0.69317,comission error
2023-11-13 18:33:30.961733,click,,
2023-11-13 18:33:30.999935,ct,0.799142,correct comission
2023-11-13 18:33:31.666873,click,,
2023-11-13 18:33:31.835780,ct,0.666938,correct comission
2023-11-13 18:33:32.513634,click,,
2023-11-13 18:33:32.674262,ct,0.677854,correct comission
2023-11-13 18:33:33.363379,click,,
2023-11-13 18:33:33.511158,ct,0.689117,correct comission
2023-11-13 18:33:34.306160,click,,
2023-11-13 18:33:34.359726,ct,0.795002,correct comission
2023-11-13 18:33:35.085366,click,,
2023-11-13 18:33:35.196328,ct,0.72564,correct comission
2023-11-13 18:33:35.807227,click,,
2023-11-13 18:33:36.038639,ct,0.610899,correct comission
2023-11-13 18:33:36.978315,click,,
2023-11-13 18:33:36.877448,ct,0.939676,correct comission
2023-11-13 18:33:38.001111,click,,
2023-11-13 18:33:37.710144,ct,1.123663,correct comission
2023-11-13 18:33:38.539111,ct,,omission error
2023-11-13 18:33:38.953062,click,,
2023-11-13 18:33:39.381599,ct,0.413951,correct comission
2023-11-13 18:33:40.225917,click,,
2023-11-13 18:33:40.213270,ct,0.844318,correct comission
2023-11-13 18:33:41.145743,click,,
2023-11-13 18:33:41.063209,ct,0.932473,correct comission
2023-11-13 18:33:41.914157,click,,
2023-11-13 18:33:41.890883,ct,0.850948,correct comission
2023-11-13 18:33:42.866244,click,,
2023-11-13 18:33:42.729864,ct,0.975361,correct comission
2023-11-13 18:33:43.608280,click,,
2023-11-13 18:33:43.573766,ct,0.878416,correct comission
2023-11-13 18:33:44.362675,click,,
2023-11-13 18:33:44.417432,ct,0.788909,correct comission
2023-11-13 18:33:45.035447,click,,
2023-11-13 18:33:45.251162,ct,0.618015,correct comission
2023-11-13 18:33:45.900544,click,,
2023-11-13 18:33:46.086555,mt,0.649382,comission error
2023-11-13 18:33:46.810066,click,,
2023-11-13 18:33:46.919329,ct,0.723511,correct comission
2023-11-13 18:33:47.753789,click,,
2023-11-13 18:33:47.758474,ct,0.83446,correct comission
2023-11-13 18:33:48.554292,click,,
2023-11-13 18:33:48.590178,mt,0.795818,comission error
2023-11-13 18:33:49.525657,click,,
2023-11-13 18:33:49.424221,ct,0.935479,correct comission
2023-11-13 18:33:50.347435,click,,
2023-11-13 18:33:50.263173,ct,0.923214,correct comission
2023-11-13 18:33:51.087651,click,,
2023-11-13 18:33:51.092855,ct,0.824478,correct comission
2023-11-13 18:33:51.828588,click,,
2023-11-13 18:33:51.927921,ct,0.735733,correct comission
2023-11-13 18:33:52.598328,click,,
2023-11-13 18:33:52.766238,ct,0.670407,correct comission
2023-11-13 18:33:53.373302,click,,
2023-11-13 18:33:53.608951,ct,0.607064,correct comission
